;Player;90s;SCA;SCA90;ShootPass;ShootDrib;GCA;GCA90;AssistPass;AssistDrib
2704;Duván Zapata;22.5;74;3.29;57;7;12;0.53;10;0
2705;Davide Zappacosta;5.0;10;1.99;8;1;3;0.60;2;0
2706;Simone Zaza;18.2;24;1.32;14;2;3;0.16;1;0
2707;Marvin Zeegelaar;6.6;8;1.21;7;0;2;0.30;2;0
2708;Mootaz Zemzemi;0.3;2;7.83;2;0;0;0.00;0;0
2709;Arber Zeneli;0.1;0;0.00;0;0;0;0.00;0;0
2710;Robin Zentner;21.5;2;0.09;2;0;0;0.00;0;0
2711;Piotr Zieliński;32.5;131;4.03;105;9;12;0.37;9;1
2712;Jean Zimmer;8.0;24;3.00;9;4;0;0.00;0;0
2713;Christoph Zimmermann;15.9;4;0.25;1;0;0;0.00;0;0
2714;Matthias Zimmermann;32.5;51;1.57;45;0;6;0.18;5;0
2715;Oleksandr Zinchenko;14.2;31;2.19;30;0;3;0.21;3;0
2716;Leopold Zingerle;28.0;2;0.07;1;0;0;0.00;0;0
2717;Joshua Zirkzee;3.3;5;1.52;4;0;2;0.61;1;0
2718;Richairo Živković;1.2;2;1.61;2;0;0;0.00;0;0
2719;Jaromír Zmrhal;12.5;23;1.84;19;1;0;0.00;0;0
2720;Kévin Zohi;5.9;13;2.21;7;6;2;0.34;1;1
2721;Ben Zolinski;13.4;27;2.01;22;1;2;0.15;2;0
2722;Kurt Zouma;26.0;14;0.54;12;0;0;0.00;0;0
2723;Igor Zubeldia;29.3;13;0.44;12;0;1;0.03;1;0
2724;Steven Zuber;8.3;11;1.32;10;1;0;0.00;0;0
2725;Martín Zubimendi;5.8;10;1.57;9;1;0;0.00;0;0
2726;Ervin Zukanović;2.3;0;0.00;0;0;0;0.00;0;0
2727;Bongani Zungu;11.0;12;1.09;11;0;3;0.27;3;0
2728;Szymon Żurkowski;0.1;0;0.00;0;0;0;0.00;0;0
2729;David Zurutuza;1.7;0;0.00;0;0;0;0.00;0;0
2730;Martin Ødegaard;28.1;116;4.13;75;7;15;0.53;11;1
2731;Filip Đuričić;18.1;72;3.97;48;6;10;0.55;7;1
