;Player;CompletedPasses;PassCompRatio;TotDistPass;ProgDistPass
2531;Miguel Trauco;646;76.8;11689;4765
2532;Mark Travers;23;71.9;692;479
2533;Luca Tremolada;4;66.7;97;16
2534;Trézéguet;295;66.3;4745;1287
2535;Manu Trigueros;784;85.4;14869;4324
2536;Christopher Trimmel;1069;69.0;21771;9526
2537;Alessandro Tripaldelli;57;82.6;848;445
2538;Kieran Trippier;938;71.7;17623;8474
2539;William Troost-Ekong;860;82.1;20780;7281
2540;Leandro Trossard;567;71.3;10971;3577
2541;Tom Trybull;551;92.3;9691;2559
2542;Axel Tuanzebe;127;90.1;2333;660
2543;Georgi Tunjov;77;72.0;1253;454
2544;Stefano Turati;43;84.3;897;529
2545;Gennaro Tutino;54;73.0;746;160
2546;Matthieu Udol;428;73.7;7866;3497
2547;Hwang Ui-jo;351;82.4;5521;944
2548;Anthony Ujah;162;61.4;2497;752
2549;Samir Ujkani;44;84.6;1265;536
2550;Sven Ulreich;44;84.6;1097;555
2551;Samuel Umtiti;749;92.7;14432;4444
2552;Enes Ünal;423;68.1;6601;1583
2553;Cengiz Ünder;241;70.5;4746;1480
2554;Dayot Upamecano;1766;89.8;40062;13462
2555;Mark Uth;316;63.8;6957;1804
2556;Mark Uth;82;71.9;1329;177
2557;Tomáš Vaclík;668;72.5;21296;12638
2558;Álvaro Vadillo;303;66.7;5012;1970
2559;William Vainqueur;896;90.3;15308;3226
2560;Mirko Valdifiori;741;82.2;15349;5177
2561;Pierrick Valdivia;29;87.9;714;208
2562;Germán Valera;1;50.0;6;0
2563;Antoine Valerio;25;71.4;562;162
2564;Borja Valero;479;89.0;8591;1904
2565;Yan Valery;198;62.3;3321;1248
2566;Martin Valjent;1015;84.1;21384;7430
2567;Jesús Vallejo;81;77.9;1815;606
2568;Jesús Vallejo;174;78.4;4655;1684
2569;Manu Vallejo;70;74.5;1187;203
2570;Luca Valls;2;50.0;16;9
2571;Theo Valls;538;77.3;10714;2795
2572;Mattia Valoti;460;79.3;7730;1967
2573;Federico Valverde;985;88.0;16346;3944
2574;Raphaël Varane;1479;88.7;35097;10034
2575;Jamie Vardy;314;68.0;4780;783
2576;Matías Vargas;261;65.9;4579;1503
2577;Ruben Vargas;420;63.9;6969;2386
2578;Thibaut Vargas;46;70.8;875;236
2579;Sebastian Vasiliadis;818;76.4;16102;3906
2580;Indiana Vassilev;8;72.7;80;4
2581;Denis Vavro;188;91.7;4163;1442
2582;Franco Vázquez;546;85.8;9642;2152
2583;Kevin Vázquez;612;79.7;10285;3887
2584;Lucas Vázquez;465;79.8;7389;2182
2585;Matías Vecino;418;77.1;6945;1898
2586;Koke Vegas;43;68.3;1139;732
2587;Miloš Veljković;905;79.3;20927;7737
2588;Miguel Veloso;1288;76.5;25491;7735
2589;Unai Vencedor Paris;31;75.6;688;190
2590;Lorenzo Venuti;400;83.0;7424;2696
2591;Brayan Vera;58;74.4;1102;370
2592;Simone Verdi;639;70.7;12872;3928
2593;Jordan Veretout;1446;87.2;31160;8342
2594;Marco Verratti;1607;92.7;27030;8132
2595;Valerio Verre;524;73.9;8302;1984
2596;Birger Verstraete;196;72.6;4310;1405
2597;Jan Vertonghen;930;83.6;19299;5954
2598;Mikel Vesga;449;78.4;8326;2074
2599;Jannik Vestergaard;641;80.2;12898;4176
2600;Rúben Vezo;954;82.0;22643;8071
2601;Francesco Vicari;1101;87.1;25812;8422
2602;Fede Vico;243;70.6;4267;1198
2603;Aleix Vidal;611;72.1;11886;3841
2604;Arturo Vidal;1115;89.1;17955;3709
2605;Clément Vidal;37;82.2;847;328
2606;Nacho Vidal;897;72.3;17360;7464
2607;Ronaldo Vieira;784;83.2;16115;4347
2608;Mauro Vigorito;109;71.2;2886;1788
2609;Dídac Vilà;929;73.7;17043;6497
2610;Toni Villa;331;71.0;6088;1922
2611;Asier Villalibre;70;63.6;1025;134
2612;Gonzalo Villar;134;93.1;2329;571
2613;Iván Villar;60;67.4;1800;1203
2614;Juan Villar;60;69.0;888;214
2615;Rúben Vinagre;257;74.7;4284;1293
2616;Luigi Vitale;8;61.5;137;107
2617;Vitolo;449;84.2;5982;1654
2618;Mattia Viviani;161;84.7;3102;930
2619;Dušan Vlahović;236;68.8;3453;630
2620;Kevin Vogt;776;93.5;17688;6316
2621;Kevin Vogt;669;86.5;15987;4442
2622;Jake Vokins;60;82.2;958;340
2623;Kevin Volland;429;71.0;6712;1634
2624;Mario Vrančić;337;78.0;5876;1753
2625;Stefan de Vrij;1525;92.7;35293;8277
2626;Giacomo Vrioni;2;100.0;52;0
2627;Šime Vrsaljko;113;66.9;1949;901
2628;Nikola Vukčević;576;87.9;11400;2365
2629;Matěj Vydra;102;73.9;1143;177
2630;Molla Wagué;259;85.2;5358;1436
2631;Moussa Wagué;118;79.2;1905;506
2632;Moussa Wagué;63;77.8;1044;263
2633;Wakaso;351;71.9;8398;2061
2634;Walace;611;89.3;11042;2591
2635;Theo Walcott;266;65.7;4309;1263
2636;Luca Waldschmidt;276;77.5;4615;958
2637;Kyle Walker;1884;87.9;38492;8516
2638;Kyle Walker-Peters;337;77.3;5293;1548
2639;Kyle Walker-Peters;183;85.5;3054;763
2640;Rémi Walter;24;96.0;451;66
2641;Sebastian Walukiewicz;529;87.1;11529;3711
2642;Aaron Wan-Bissaka;1676;81.2;24885;9484
2643;Victor Wanyama;18;94.7;382;127
2644;Joel Ward;932;74.0;15593;7042
2645;James Ward-Prowse;1458;74.0;27761;8432
2646;Daniel Wass;1286;80.3;22599;7995
2647;Kelland Watts;1;25.0;17;3
2648;Timothy Weah;21;67.7;306;34
2649;Adam Webster;1547;84.8;33753;11543
2650;Wout Weghorst;533;65.2;7703;1848
2651;Julian Weigl;753;91.4;16680;3337
2652;Mitchell Weiser;827;79.5;13336;4331
2653;Danny Welbeck;131;78.0;1791;447
2654;Wendell;1612;85.4;29924;9083
2655;Oscar Wendt;803;75.5;14343;6772
2656;Timo Werner;764;71.7;11688;2886
2657;Ashley Westwood;1381;74.5;28454;8338
2658;Connor Wickham;29;65.9;440;90
2659;Felix Wiedwald;70;68.0;2328;1730
2660;Georginio Wijnaldum;1477;90.7;25469;4629
2661;Jetro Willems;408;70.1;7494;3601
2662;William;635;71.8;12141;5492
2663;Brandon Williams;531;83.5;8464;2692
2664;Iñaki Williams;510;71.8;8050;1365
2665;Neco Williams;165;80.5;3196;700
2666;Willian;1247;77.9;22454;5164
2667;Joe Willock;299;81.3;5215;1448
2668;Jack Wilshere;61;83.6;843;163
2669;Callum Wilson;345;64.5;5194;1143
2670;Harry Wilson;454;74.5;8884;2082
2671;Harry Winks;1466;88.5;28421;7489
2672;Florian Wirtz;152;81.7;2124;401
2673;Axel Witsel;1688;94.1;29168;5214
2674;Hannes Wolf;18;66.7;224;71
2675;Marius Wolf;465;69.0;8913;3702
2676;Nick Woltemade;17;81.0;243;43
2677;Chris Wood;312;64.6;4073;486
2678;Xeka;386;86.2;7347;1726
2679;Granit Xhaka;1656;87.8;34310;8538
2680;Jawad El Yamiq;93;84.5;1819;792
2681;Andriy Yarmolenko;338;79.7;5558;1379
2682;Yusuf Yazıcı;314;69.6;5683;1778
2683;DeAndre Yedlin;228;72.2;3725;1542
2684;Yoel;48;51.6;2772;2231
2685;Okay Yokuşlu;882;82.9;14522;3491
2686;Maya Yoshida;207;83.8;4037;1319
2687;Maya Yoshida;489;85.8;12006;3408
2688;Elie Youan;40;76.9;525;86
2689;Amin Younes;89;80.2;1190;331
2690;Ashley Young;565;76.9;11200;4597
2691;Ashley Young;506;79.8;9081;3222
2692;Zaydou Youssouf;425;82.2;9299;1805
2693;Pablo Zabaleta;247;75.8;4078;1851
2694;Mattia Zaccagni;572;72.4;8788;2535
2695;Dan-Axel Zagadou;762;92.1;16115;4912
2696;Arthur Zagre;12;80.0;165;2
2697;Wilfried Zaha;935;78.7;15095;4214
2698;Denis Zakaria;787;86.7;14796;3781
2699;Joseba Zaldúa;1227;78.7;21625;8351
2700;Andre-Frank Zambo Anguissa;1333;89.0;23176;5597
2701;Luca Zanimacchia;44;75.9;669;110
2702;Nicolò Zaniolo;356;79.6;6688;1393
2703;Cristián Zapata;808;92.4;16783;4698
2704;Duván Zapata;458;76.2;6597;941
2705;Davide Zappacosta;200;81.3;3586;776
2706;Simone Zaza;213;64.4;3525;559
2707;Marvin Zeegelaar;245;80.9;4529;1784
2708;Mootaz Zemzemi;11;78.6;258;59
2709;Arber Zeneli;1;100.0;9;0
2710;Robin Zentner;512;64.0;16360;10993
2711;Piotr Zieliński;1758;87.2;31856;8652
2712;Jean Zimmer;180;66.7;3547;1506
2713;Christoph Zimmermann;492;80.8;10846;3773
2714;Matthias Zimmermann;1186;71.1;23374;9759
2715;Oleksandr Zinchenko;1198;88.9;20887;5551
2716;Leopold Zingerle;1004;82.5;27384;13283
2717;Joshua Zirkzee;67;76.1;833;151
2718;Richairo Živković;16;88.9;242;25
2719;Jaromír Zmrhal;272;71.4;4309;1363
2720;Kévin Zohi;109;70.8;1848;499
2721;Ben Zolinski;274;75.3;4428;1156
2722;Kurt Zouma;1772;89.4;41235;10428
2723;Igor Zubeldia;1467;87.8;30494;7561
2724;Steven Zuber;350;81.8;6328;2043
2725;Martín Zubimendi;365;86.9;7003;1563
2726;Ervin Zukanović;112;88.9;2163;631
2727;Bongani Zungu;437;81.2;8324;2354
2728;Szymon Żurkowski;4;100.0;54;4
2729;David Zurutuza;61;74.4;1131;236
2730;Martin Ødegaard;1308;80.9;22526;6909
2731;Filip Đuričić;552;79.1;9010;2188
