;Player;CompletedPasses;PassCompRatio;TotDistPass;ProgDistPass
239;Jean-Ricner Bellegarde;604;86.3;12345;2165
240;Héctor Bellerín;558;81.3;9186;2754
241;Andrea Belotti;502;66.9;7545;1723
242;Fran Beltrán;781;88.6;14452;2777
243;Sami Ben Amar;6;75.0;125;75
244;Hatem Ben Arfa;42;76.4;797;93
245;Wissam Ben Yedder;613;75.5;8993;2573
246;Marco Benassi;262;76.6;4465;1465
247;Cristian Benavente;124;79.5;1960;380
248;Lars Bender;915;85.2;15899;5753
249;Sven Bender;2318;92.8;49836;12098
250;Darío Benedetto;342;68.0;6435;846
251;László Bénes;399;76.4;8174;2714
252;Walter Benítez;654;83.3;15649;8979
253;Loris Benito;1104;84.0;19603;7262
254;Bilal Benkhedim;46;71.9;747;113
255;Ismaël Bennacer;1584;87.6;29362;8851
256;Ryan Bennett;185;77.4;4160;1591
257;Ryan Bennett;174;78.7;3565;1504
258;Keanen Bennetts;1;100.0;18;0
259;Yassine Benrahou;83;78.3;1320;389
260;Yassine Benrahou;208;66.0;3733;1134
261;Ramy Bensebaini;732;79.0;12832;4961
262;Nabil Bentaleb;347;85.9;6806;1178
263;Rodrigo Bentancur;1435;87.4;25849;6573
264;Christian Benteke;190;58.3;2804;722
265;Romario Benzar;50;72.5;806;477
266;Karim Benzema;1119;84.2;16894;3022
267;Yassine Benzia;60;74.1;988;233
268;Domenico Berardi;879;73.7;15858;4512
269;Yuri Berchiche;1351;79.7;25057;10064
270;Álex Berenguer;587;74.2;9679;2780
271;Bartosz Bereszyński;1040;78.1;17589;7631
272;Jóhann Berg Guðmundsson;132;68.8;2534;684
273;Markel Bergara;10;52.6;148;17
274;Sander Berge;298;77.2;5251;1145
275;Steven Bergwijn;225;86.9;3150;545
276;Robert Berić;46;64.8;525;80
277;Etrit Berisha;623;70.5;20111;13780
278;Valon Berisha;5;71.4;83;30
279;Valon Berisha;331;82.5;5983;1114
280;Sergio Bermejo;3;100.0;45;18
281;Bernard;426;74.3;6998;1979
282;Federico Bernardeschi;560;81.9;9307;2235
283;Bernardo;286;74.7;4721;2079
284;Paul Bernardoni;426;60.4;14577;9630
285;Juan Bernat;1011;90.1;15051;3698
286;Dimitry Bertaud;59;88.1;1821;1073
287;Andrea Bertolacci;205;80.4;3801;1053
288;Ryan Bertrand;1244;75.1;20910;8998
289;Muhamed Bešić;86;81.1;1516;328
290;Louis Beyer;33;80.5;591;155
291;Ermin Bičakčić;700;88.8;13734;5068
292;Pedro Bigas;480;68.7;11846;4452
293;Lucas Biglia;398;90.9;7459;2328
294;El Bilal Touré;50;73.5;686;103
295;Philip Billing;878;74.5;15933;3956
296;Cristiano Biraghi;646;71.7;11791;4758
297;Davide Biraschi;895;75.0;17321;7297
298;Valter Birsa;270;81.8;5730;1522
299;Dimitri Bisoli;509;65.2;8283;3704
300;Yves Bissouma;525;84.4;10234;1965
301;Leonardo Bittencourt;2;66.7;37;0
302;Leonardo Bittencourt;671;73.9;10907;3457
303;Birkir Bjarnason;205;76.5;3814;870
304;Rubén Blanco;615;62.1;21209;13854
305;Ludovic Blas;540;79.9;10016;2376
306;Pablo de Blasis;668;69.9;13732;5655
307;Alejandro Blesa;3;60.0;41;11
308;Alexis Blin;874;84.0;16073;4061
309;Jérôme Boateng;1532;90.0;36584;10954
310;Kevin-Prince Boateng;155;77.9;2710;369
311;Antonin Bobichon;79;78.2;1868;490
312;Antonin Bobichon;221;78.1;3457;982
313;Salvatore Bocchetti;147;83.5;2720;1016
314;Mathieu Bodmer;76;81.7;1337;405
315;Adam Bodzek;584;82.4;12574;3016
316;Jean-Paul Boëtius;698;76.0;13052;4231
317;Sacha Boey;65;80.2;1130;282
318;Jeremie Boga;839;85.2;11203;1930
319;Melayro Bogarde;31;81.6;502;86
320;Quentin Boisgard;401;79.1;5726;1759
321;Willy Boly;793;82.7;15344;6024
322;Giacomo Bonaventura;589;84.1;9071;1831
323;Federico Bonazzoli;146;69.9;2872;404
324;Gaëtan Bong;24;68.6;428;175
325;Kevin Bonifazi;76;86.4;1761;606
326;Kevin Bonifazi;575;85.7;11478;3769
327;Federico Bonini;5;100.0;99;37
328;Leonardo Bonucci;1830;87.6;42171;16587
329;Fabio Borini;181;68.8;3091;781
330;Fabio Borini;17;77.3;388;45
331;Dennis Borkowski;1;50.0;8;3
332;Robin Bormuth;59;79.7;1437;411
333;Sebastiaan Bornauw;995;82.0;24980;8400
334;Brandon Borrello;59;77.6;954;118
335;Gabriel Boschilia;59;74.7;891;256
336;Denis Bouanga;408;68.0;6746;1860
337;Hicham Boudaoui;152;76.4;2257;582
338;Ryad Boudebouz;696;72.2;13583;3226
339;Sofiane Boufal;247;76.0;3764;1068
340;Nassim Boujellab;118;80.3;2346;575
341;Farid Boulaya;289;68.2;4935;1605
342;Yassine Bounou;127;74.7;4187;2666
343;Mehdi Bourabia;658;86.8;11290;2867
344;Benjamin Bourigeaud;924;75.6;20446;5610
345;Bilal Boutobba;3;50.0;63;35
346;Jarrod Bowen;188;68.1;3704;1215
347;Dedryck Boyata;1219;90.6;29167;6620
348;John Boye;773;86.8;17091;5305
349;Can Bozdogan;54;74.0;886;272
350;Domagoj Bradarić;625;75.4;11205;3811
351;Filip Bradarić;323;78.6;5769;1793
352;Robbie Brady;108;64.7;1702;673
353;Martin Braithwaite;99;77.3;1325;141
354;Martin Braithwaite;269;69.0;4023;865
355;Federico Brancolini;3;100.0;122;96
356;Brandon;82;70.1;1190;225
357;Julian Brandt;1395;83.2;25259;5222
358;Jarrad Branthwaite;187;88.2;4351;1303
359;Darko Brašanac;576;74.6;9704;2418
360;Claudio Bravo;101;76.5;2698;1554
361;Josip Brekalo;569;69.2;10537;3435
362;Gleison Bremer;921;81.9;19770;5946
363;Marco Brescianini;23;100.0;414;65
364;Anthony Briançon;704;84.2;18025;5824
365;Jimmy Briand;274;79.9;3594;453
366;Yan Brice Eteki;338;79.2;6083;1473
367;Armando Broja;2;100.0;13;0
368;Dylan Bronn;239;81.6;6350;1772
369;David Brooks;121;67.6;1938;694
370;John Brooks;990;83.3;24795;7878
371;Daniel Brosinski;664;62.9;15086;8183
372;Josh Brownhill;276;81.2;4324;1063
373;Marcelo Brozović;1905;88.2;40561;9539
374;Gastón Brugman;567;83.6;12319;3408
375;Jeffrey Bruma;268;87.6;5979;1590
376;Jeffrey Bruma;261;88.2;6096;1947
377;Jacob Bruun Larsen;106;76.8;1741;347
378;Jacob Bruun Larsen;22;81.5;324;42
379;Bryan;139;65.6;2138;707
380;Bryan;24;85.7;283;57
381;Lucas Buadés;13;72.2;189;56
382;Ante Budimir;381;65.2;4538;811
383;Emi Buendía;1144;74.6;20522;7002
384;Gianluigi Buffon;195;92.0;4527;2506
385;Marius Bülter;411;62.7;6834;2238
386;Esteban Burgos;244;64.2;6711;2423
387;Guido Burgstaller;207;68.5;2904;682
388;Burgui;4;57.1;58;18
389;Jonathan Burkardt;40;76.9;571;109
390;Oliver Burke;226;67.9;3022;738
391;Roman Bürki;831;79.4;21508;11417
392;Dan Burn;1389;75.4;23985;8736
393;Patrick Burner;931;85.5;16178;6375
394;Sergio Busquets;2331;90.2;42547;11344
395;Unai Bustinza;901;70.0;19162;7780
396;Ludovic Butelle;449;64.5;15322;10272
397;Marcin Bułka;17;94.4;330;203
398;Sam Byram;625;81.9;9875;3375
399;Erick Cabaco;85;61.6;2366;986
400;Erick Cabaco;275;78.8;6649;2638
401;Willy Caballero;121;73.3;3403;2177
402;Yohan Cabaye;403;79.8;8262;2636
403;Manuel Cabit;104;67.1;1778;746
404;Ariday Cabrera;9;81.8;186;39
405;Leandro Cabrera;272;54.1;8769;3482
406;Leandro Cabrera;553;67.5;13741;5585
407;Fabrizio Cacciatore;557;79.0;11573;5367
408;Martín Cáceres;1099;84.1;22557;8240
409;Anthony Caci;416;80.0;8754;4020
410;Jhonder Cádiz;120;63.5;1928;404
411;Mathieu Cafaro;203;57.8;4411;1643
412;Jonathan Cafu;78;82.1;1266;308
413;Gary Cahill;826;86.7;18604;5545
414;Felipe Caicedo;321;79.5;4173;786
415;Arturo Calabresi;714;74.1;12771;6137
416;Davide Calabria;945;80.8;18601;7475
417;Riccardo Calafiori;10;71.4;186;53
418;Mattia Caldara;381;89.9;7708;1584
419;Marco Calderoni;829;73.9;15879;6224
420;Fernando Calero;507;87.9;10183;3222
421;Duje Ćaleta-Car;941;88.9;21303;6700
422;Hakan Çalhanoğlu;1290;78.2;23557;6118
423;Daniel Caligiuri;637;63.9;11598;4744
424;José Callejón;993;79.8;17855;4520
425;Jonathan Calleri;199;54.5;2826;711
426;Dominic Calvert-Lewin;393;66.2;5940;1307
427;Mahdi Camara;388;83.8;6653;1033
428;Souleymane Camara;33;76.7;508;170
429;Víctor Camarasa;3;100.0;44;11
430;Víctor Camarasa;430;80.7;8342;1719
431;Eduardo Camavinga;879;89.2;18367;3010
432;Sergio Camello;2;40.0;35;11
433;José Campaña;1650;77.8;30022;10237
434;Xisco Campos;153;77.3;3636;1078
435;Víctor Campuzano;99;65.6;1404;324
436;Emre Can;651;88.1;13271;2959
437;Emre Can;142;86.6;2309;489
438;Sergio Canales;1865;84.0;35310;7041
439;João Cancelo;1008;87.9;18396;5054
440;Antonio Candreva;1053;76.8;21222;7319
441;Gianmarco Cangiano;9;75.0;192;21
442;Todd Cantwell;884;79.9;13333;3044
443;Ander Capa;1188;74.3;20061;8414
444;Pierrick Capelle;646;81.8;10773;3076
445;Étienne Capoue;1158;81.0;24229;6424
446;Gianluca Caprari;189;73.8;2996;689
447;Gianluca Caprari;169;79.7;2727;627
448;Francesco Caputo;635;78.2;8697;991
449;Maxence Caqueret;338;86.7;6084;1780
450;Andrea Carboni;134;82.2;2875;1150
451;Irvin Cardona;290;65.8;4836;1286
452;Marc Cardona;135;73.4;2024;331
453;Diego Carlos;1600;86.6;37196;11737
454;Lionel Carole;623;78.2;12767;5552
455;Yannick Carrasco;174;75.0;2708;902
456;Daniel Carriço;502;92.6;10515;3037
457;Guido Carrillo;232;68.2;3313;561
458;Andy Carroll;134;64.7;2215;483
459;Dani Carvajal;2058;84.6;36020;12111
460;Matis Carvalho;13;48.1;356;230
461;William Carvalho;564;89.0;10681;2488
462;Casemiro;1826;83.5;37514;9485
463;Moreto Cassamã;445;87.8;10195;2304
464;Francesco Cassata;511;78.1;8675;2388
465;Timothy Castagne;952;84.0;14491;5037
466;Koen Casteels;720;73.1;24473;14946
467;Jean-Charles Castelletto;845;88.4;18409;6026
468;Samu Castillejo;422;75.4;6955;2008
469;Jonny Castro;1177;81.5;17892;5897
470;Lucas Castro;166;77.9;2727;771
471;Lucas Castro;218;74.1;3711;1253
472;Gaetano Castrovilli;922;80.8;15550;4180
473;Danilo Cataldi;377;83.0;7610;2821
474;Craig Cathcart;719;83.2;15711;4909
475;Edinson Cavani;120;85.7;1823;296
476;Santi Cazorla;1414;81.6;29753;8558
477;Dani Ceballos;1096;84.2;22107;5542
478;Federico Ceccherini;346;87.6;7129;2703
479;Christian Celesia;1;100.0;19;7
480;Zeki Çelik;1094;80.1;19713;7584
481;Fabien Centonze;980;75.6;17235;7580
482;Luca Ceppitelli;403;79.8;9987;3664
483;Alberto Cerri;94;65.3;1456;243
484;Alberto Cerri;70;68.0;1167;111
485;Julian Chabot;205;86.1;4419;1377
486;Florian Chabrolle;14;87.5;170;69
487;Fouad Chafik;702;76.8;13800;5946
488;Sofian Chakla;79;83.2;1839;568
489;Nathaniel Chalobah;263;73.5;4592;1237
490;Calum Chambers;702;81.2;14269;4326
491;Jhon Chancellor;745;87.8;16773;4413
492;Timothy Chandler;290;62.8;5690;2696
493;Kwon Chang-hoon;198;72.0;3593;982
494;Gaëtan Charbonnier;627;76.4;10587;2772
495;Brendan Chardonnet;478;89.2;11899;3475
496;Charles;237;68.5;3241;415
497;Xavier Chavalerin;848;77.4;16922;5347
498;Pablo Chavarría;40;63.5;494;91
499;Aurélien Chedjou;828;83.3;19123;7616
500;Pape Cheikh Diop;238;90.2;4097;948
501;Chema;75;61.0;1962;689
502;Rayan Cherki;44;66.7;617;127
503;Denis Cheryshev;240;68.8;4058;1037
504;Giorgio Chiellini;97;91.5;2022;587
505;Federico Chiesa;609;73.1;10231;3230
506;Ben Chilwell;1527;78.1;26138;8345
507;Vlad Chiricheș;455;93.0;9118;3030
508;Tahith Chong;9;64.3;136;36
509;Joris Chotard;429;77.2;9784;2651
510;Hamza Choudhury;428;86.6;7794;1523
511;Mounir Chouiar;459;71.7;8098;2611
512;Andreas Christensen;1166;92.7;26595;6431
513;Samuel Chukwueze;553;73.7;10360;2682
514;Darko Churlinov;7;63.6;124;14
515;Churripi;35;35.4;1422;1098
516;Luca Cigarini;992;80.8;20139;7197
517;Per Ciljan Skjelbred;597;83.8;11799;3127
518;Jasper Cillessen;474;62.5;14585;9804
519;Thiago Cionek;1029;75.7;18355;7979
520;Ibrahim Cissé;57;90.5;983;361
521;Ibrahim Cissé;37;84.1;748;272
522;Andrea Cistana;688;85.1;14975;4464
523;Ciaran Clark;253;78.6;5411;2056
524;Leon Clarke;5;71.4;73;7
525;Alexis Claude-Maurice;504;84.0;8313;1703
526;Christian Clemens;0;0.0;0;0
527;Óscar Clemente;2;100.0;33;0
528;Yannis Clementia;41;67.2;894;490
529;Denilho Cleonise;7;100.0;74;12
530;Carlos Clerc;709;73.2;11856;5168
531;Tom Cleverley;366;78.0;5944;1970
532;Conor Coady;1531;85.9;42435;14948
533;Marcus Coco;3;100.0;27;7
534;Renaud Cohade;480;82.2;8886;2018
535;Coke;463;80.2;8864;3653
536;Séamus Coleman;813;76.8;14398;6119
537;Álex Collado;9;90.0;127;7
538;Ebrima Colley;37;88.1;508;92
539;Omar Colley;1089;82.3;25579;8935
540;Jamilu Collins;1346;76.1;25666;10893
541;Simone Colombi;82;83.7;1914;1148
542;Lorenzo Colombo;2;100.0;44;20
543;Racine Coly;466;86.3;8055;2790
544;Kingsley Coman;611;76.7;10983;2162
545;Daniel Congré;755;83.9;15249;6853
546;Aaron Connolly;126;77.3;1739;242
547;Andrea Consigli;778;78.2;18869;10903
548;Andrea Conti;888;83.8;15360;6156
549;Lewis Cook;560;77.9;11160;3293
550;Steve Cook;993;81.3;22720;7506
551;Francis Coquelin;885;89.9;17359;3670
552;Gabriele Corbo;53;89.8;1177;475
553;Sébastien Corchia;149;80.1;2694;969
554;Iñigo Córdoba;316;69.0;4632;1230
555;Jhon Córdoba;320;78.4;5183;504
556;Sergio Córdova;54;71.1;781;181
557;Benjamin Corgnet;45;56.3;728;269
558;Jack Cork;743;79.6;12443;2770
559;Andreas Cornelius;293;70.9;4529;801
560;Maxwel Cornet;499;72.3;8222;2855
561;Quentin Cornette;77;54.6;1450;507
562;Ángel Correa;454;75.3;6249;1531
563;Joaquín Correa;578;82.9;8852;1719
564;Rober Correa;381;74.3;7041;2947
565;Thierry Correia;107;79.9;2069;892
566;Antonio Cortés;19;50.0;243;47
567;Angelo da Costa Júnior;25;89.3;575;294
568;Danny da Costa;408;65.2;7946;3122
569;Diego Costa;260;71.0;3946;695
570;Douglas Costa;392;80.0;7019;1882
571;Jaume Costa;672;82.2;12027;4123
572;Nuno da Costa;97;63.8;1384;304
573;David Costas;182;91.9;3688;1173
574;Benoît Costil;633;71.4;20265;13057
575;Kalifa Coulibaly;199;59.2;2690;518
576;Senou Coulibaly;322;84.1;7610;2709
577;Yoann Court;378;68.9;6858;2059
578;Thibaut Courtois;849;78.3;21914;10821
579;Philippe Coutinho;709;81.8;12745;3627
580;Nicolas Cozza;193;82.8;4063;1466
581;Alessio Cragno;305;64.2;9238;6113
582;Aaron Cresswell;1241;73.8;21630;10702
583;Domenico Criscito;964;77.1;20197;7603
584;Bryan Cristante;915;85.4;19507;5779
585;Sebastián Cristóforo;41;83.7;737;334
586;Sebastián Cristóforo;232;73.9;4126;1136
587;Juan Cuadrado;2055;88.5;37754;14001
588;Cucho;315;70.3;4812;1241
589;Marc Cucurella;938;66.7;15990;6391
590;Iván Cuéllar;423;51.4;19260;14320
591;Jaume Cuéllar;14;87.5;232;14
592;Mickaël Cuisance;156;81.3;3057;753
593;Matheus Cunha;121;68.8;2655;904
594;Matheus Cunha;74;77.1;1208;281
595;Felipe Curcio;8;66.7;114;53
596;Patrick Cutrone;120;71.0;1694;290
597;Patrick Cutrone;38;67.9;488;67
598;Wylan Cyprien;1122;83.5;22657;5661
599;Rafael Czichos;990;83.9;23215;8988
600;Lennart-Marten Czyborra;8;80.0;104;3
601;Marco D'Alessandro;191;73.7;2862;827
602;Danilo D'Ambrosio;768;85.1;14027;4611
603;Felice D'Amico;4;80.0;49;14
604;Lucas Da Cunha;18;81.8;230;29
605;Jacopo Da Riva;2;100.0;24;9
606;Damien Da Silva;1068;87.5;24093;6897
607;Bryan Dabo;500;86.5;8396;1886
608;Moanes Dabour;189;72.7;2751;806
609;Moanes Dabour;14;73.7;243;75
610;Colin Dagba;372;89.9;5527;1409
611;Mahmoud Dahoud;447;90.1;8313;1592
612;Leon Dajaku;5;83.3;121;6
613;Felipe dal Belo;389;83.3;8320;3278
614;Christian Dalle Mura;0;;0;0
615;Diogo Dalot;51;79.7;887;248
616;Charlie Daniels;35;71.4;700;326
617;Danilo;1051;86.2;18778;6050
618;Scott Dann;461;83.1;9842;4107
619;Kevin Danso;115;72.3;2051;905
620;Dante;1466;92.3;30763;11130
621;Andrea Danzi;1;100.0;23;21
622;Sergi Darder;804;74.8;16415;4380
623;Vladimír Darida;843;73.1;17642;4610
624;Matteo Darmian;1208;79.4;23692;9620
625;Alphonso Davies;1585;86.4;25947;8022
626;Ben Davies;730;76.4;13130;5294
627;Tom Davies;681;78.3;13271;4037
628;Keinan Davis;107;75.4;1475;201
629;Paweł Dawidowicz;366;89.9;7310;2141
630;Craig Dawson;729;80.3;17541;5763
631;Kevin De Bruyne;1674;74.6;34640;10497
632;Sebastien De Maio;533;80.6;11242;3817
633;Rodrigo De Paul;1377;74.7;28748;7936
634;Mattia De Sciglio;283;82.3;5053;1737
635;Lorenzo De Silvestri;693;72.3;11993;4997
636;Lucas Deaux;539;78.3;11175;3396
637;Mathieu Debuchy;808;75.4;14546;6109
638;Troy Deeney;405;57.3;6226;2060
639;Grégoire Defrel;305;89.2;4157;633
640;Alessandro Deiola;0;0.0;0;0
641;Alessandro Deiola;224;75.7;4563;1011
642;Romain Del Castillo;379;78.6;5931;1576
643;Thomas Delaine;468;69.1;7868;3182
644;Thomas Delaney;506;86.3;9520;1767
645;Paul Delecroix;27;61.4;1136;894
646;Cristian Dell'Orco;444;79.9;8924;3445
647;Andy Delort;451;59.0;8284;1867
648;Fabian Delph;676;86.9;14015;3544
649;Moussa Dembélé;347;74.0;4918;733
650;Ousmane Dembélé;201;77.0;3426;761
651;Merih Demiral;290;94.8;5505;1403
652;Kerem Demirbay;947;78.0;18600;5956
653;Diego Demme;933;86.7;16232;4126
654;Diego Demme;715;91.4;13894;2501
655;Jason Denayer;1492;95.2;33319;9294
656;Leander Dendoncker;1087;84.7;22063;4879
657;Kevin Denkey;102;68.5;1496;289
658;Stefano Denswil;1092;86.3;22656;8162
659;Fabio Depaoli;479;68.7;8418;3704
660;Memphis Depay;368;75.9;6161;1678
661;Kastriot Dermaku;321;85.1;7719;2397
662;Daniele Dessena;563;79.3;10532;3078
663;Mattia Destro;14;70.0;247;102
664;Mattia Destro;20;76.9;223;37
665;Gerard Deulofeu;603;73.3;10192;2557
666;Deyverson;34;50.0;629;177
667;Samuel Di Carmine;181;70.7;2206;142
668;Federico Di Francesco;264;76.3;4256;1065
669;Giovanni Di Lorenzo;2003;88.1;34218;12209
670;Ángel Di María;940;72.9;17535;5555
671;Boulaye Dia;251;76.5;3609;604
672;Fousseni Diabaté;362;75.1;5079;1361
673;Moussa Diaby;515;73.6;8277;1795
674;Mouctar Diakhaby;726;90.3;15579;4483
675;Bafodé Diakité;568;84.9;11551;3783
676;Abdou Diallo;986;92.9;19786;6924
677;Habib Diallo;318;70.5;4922;682
678;Ibrahima Diallo;729;87.0;15945;3015
679;Moussa Diarra;41;73.2;823;276
680;Raphael Dias Belloli;454;66.3;8807;3354
681;Lucas Dias;51;52.6;2198;1729
682;Amadou Diawara;888;89.2;18527;4264
683;Brahim Díaz;35;87.5;472;117
684;Víctor Díaz;1020;67.7;22122;10407
685;Bakaye Dibassy;732;81.2;13030;4119
686;Eric Dier;713;81.4;15425;4283
687;Lucas Digne;1353;69.5;25922;11359
688;Virgil van Dijk;2791;90.5;65376;18443
689;Mitchell Dijks;432;79.3;7457;3186
690;Javairô Dilrosun;298;72.3;5142;1575
691;Federico Dimarco;315;75.2;5976;2519
692;Federico Dimarco;11;78.6;215;65
693;Tristan Dingomé;269;72.7;4847;1060
694;Lois Diony;71;60.7;1031;180
695;Issa Diop;755;79.6;15500;5635
696;Papakouli Diop;593;73.6;12207;3138
697;Assane Dioussé;39;76.5;713;213
698;Axel Disasi;1237;85.8;29035;8765
699;Tiago Djaló;380;88.0;8295;2347
700;Djené;683;73.2;16407;5788
701;Moussa Djenepo;191;72.3;2738;896
702;Koffi Djidji;346;87.6;7235;2218
703;Alexander Djiku;1066;89.0;23935;7813
704;Berat Djimsiti;1612;87.9;29384;9046
705;Naïs Djouahra;15;65.2;232;79
706;Marko Dmitrović;479;45.1;24007;19172
707;Matt Doherty;1369;76.4;22400;9053
708;Kasper Dolberg;232;77.1;3534;243
709;Keagan Dolly;57;76.0;888;207
710;Jaume Doménech;300;65.6;10025;7221
711;Nicolás Domínguez;349;84.5;6736;1703
712;Giulio Donati;853;85.6;16173;6231
713;Ji Dong-won;14;60.9;184;35
714;Anastasios Donis;75;56.4;1233;161
715;Alfredo Donnarumma;307;69.0;4792;1114
716;Gianluigi Donnarumma;873;76.4;25486;15820
717;Gabriel Dos Santos;1228;84.3;26925;8971
718;Mathieu Dossevi;463;63.0;8149;2707
719;Bas Dost;273;59.2;4417;978
720;Abdoulaye Doucouré;1302;78.5;21933;4818
721;Mamadou Doucouré;9;100.0;160;4
722;Moussa Doumbia;532;78.1;8993;1971
723;Souleyman Doumbia;233;76.9;3665;1704
724;Souleyman Doumbia;38;79.2;681;246
725;Thomas Doyle;19;100.0;279;26
726;Mohamed Dräger;630;77.0;12659;4207
727;Aleksandar Dragović;849;90.7;18484;5673
728;Bartłomiej Drągowski;647;71.6;18757;11372
729;Julian Draxler;431;88.9;7215;1648
730;Dominick Drexler;486;73.1;8604;2825
731;Danny Drinkwater;136;81.4;2638;565
732;Danny Drinkwater;11;55.0;183;39
733;Josip Drmić;125;76.2;1674;187
734;Domingos Duarte;970;79.6;23651;7528
735;Léo Duarte;172;88.2;3767;952
736;Óscar Duarte;190;86.0;4634;1633
737;Rubén Duarte;933;71.2;17336;8840
738;Edgaras Dubickas;1;50.0;31;7
739;Leo Dubois;772;79.9;14479;5566
740;Martin Dúbravka;595;54.4;25699;19278
741;Ondrej Duda;298;78.0;4770;1184
742;Ondrej Duda;152;79.2;2576;632
743;Shane Duffy;515;84.0;12118;3497
744;Haris Duljević;114;70.4;1793;362
745;Paul Dummett;358;71.3;6797;3378
746;Alfred Duncan;347;84.4;6555;1695
747;Alfred Duncan;382;81.4;6437;1819
748;Lewis Dunk;1913;87.3;45041;13471
749;Erik Durm;156;63.7;2751;1145
750;Riza Durmisi;81;81.0;1496;264
751;Hugo Duro;50;59.5;593;149
752;Jean-Kevin Duverne;728;85.7;16465;4531
753;Paulo Dybala;1275;83.4;21499;5076
754;Edin Džeko;565;69.5;10536;2014
755;Blerim Džemaili;286;82.4;5708;1508
756;Bruno Ecuele Manga;1143;87.3;27068;9272
757;Simone Edera;102;78.5;1919;500
758;Ederson;927;87.2;23473;13253
759;John Egan;1017;83.8;24150;6505
760;Johannes Eggestein;145;71.4;2061;498
761;Maximilian Eggestein;1151;77.6;20371;6443
762;Kingsley Ehizibue;850;74.8;16175;6528
763;Albin Ekdal;1012;87.2;18005;4955
764;Harvey Elliot;12;80.0;204;79
765;Elif Elmas;623;90.9;9225;1613
766;Ilay Elmkies;4;100.0;37;5
767;Ahmed Elmohamady;484;76.5;9333;3713
768;Aritz Elustondo;802;85.8;17054;4653
769;Nico Elvedi;1605;92.2;33611;7652
770;Rodrigo Ely;667;79.5;16672;5747
771;Adri Embarba;246;55.7;4591;1268
772;Breel Embolo;294;75.4;4508;922
773;Emerson;1288;80.3;21614;7386
774;Renaud Emond;53;67.9;898;186
775;Alan Empereur;396;84.8;7730;3142
776;Youssef En-Nesyri;163;61.3;2478;501
777;Youssef En-Nesyri;103;65.6;1558;226
778;Björn Engels;503;83.1;11927;3879
779;Sergi Enrich;377;71.5;5236;727
780;Javier Eraso;215;76.8;3354;667
781;Christian Eriksen;549;73.9;10145;2771
782;Christian Eriksen;358;75.7;6648;1707
783;Gonzalo Escalante;474;72.1;8866;2443
784;Aarón Escandell;77;60.2;2885;2005
785;Sergio Escudero;475;80.2;8427;3453
786;Espeto;680;78.2;10971;3508
787;Bernardo Espinosa;826;77.9;19342;6385
788;Sebastiano Esposito;41;66.1;717;189
789;Esquerdo;6;66.7;122;56
790;Alexander Esswein;59;63.4;1025;324
791;Pervis Estupiñán;1322;72.5;23432;10524
792;Oghenekaro Etebo;135;63.4;2518;711
793;Beñat Etxebarria;161;83.0;3422;954
794;Xabier Etxeita;209;56.8;5358;1957
795;Antony Evans;39;54.9;931;489
796;Jonny Evans;2088;88.0;47140;13768
797;Edu Expósito;759;81.4;14891;3121
798;Valentin Eysseric;115;78.8;2025;498
799;Valentin Eysseric;16;66.7;312;73
800;Łukasz Fabiański;378;56.3;17195;13319
801;Fabinho;1334;87.3;27064;5347
802;Fábio;424;81.4;6906;3177
803;Cesc Fàbregas;623;81.9;11812;4211
804;Fabricio;24;72.7;874;593
805;Ralf Fährmann;7;70.0;127;79
806;Fayçal Fajr;120;62.5;2963;914
807;Luca Falbo;1;50.0;35;0
808;Filippo Falco;812;80.2;14146;3781
809;Eliseo Falcon;22;91.7;470;135
810;Wladimiro Falcone;39;63.9;969;567
811;Simon Falette;46;80.7;1198;452
812;Iago Falque;54;84.4;975;161
813;Iago Falque;245;78.3;4441;945
814;Akin Famewo;0;;0;0
815;Andri Fannar Baldursson;49;73.1;857;194
816;Paolo Faragò;688;78.0;12830;4583
817;Davide Faraoni;1228;71.9;23605;10333
818;Mohamed Fares;138;68.7;2449;880
819;Diego Farias;294;81.0;5125;1247
820;Ansu Fati;446;82.9;5570;949
821;Julien Faussurier;921;72.3;18550;8970
822;Andrea Favilli;141;73.1;2140;276
823;Federico Fazio;589;87.5;12539;3870
824;Aleix Febas;585;84.7;8999;2050
825;Zouhair Feddal;917;86.3;21103;6462
826;Ljubomir Fejsa;234;80.7;4376;942
827;Nabil Fekir;839;81.1;13881;3618
828;Felipe;707;79.7;14770;5695
829;Luiz Felipe;1048;89.7;21793;6668
830;Lucas Felippe;21;95.5;384;52
831;Ohis Felix Uduokhai;734;83.2;16740;4967
832;João Félix;410;77.2;5830;1604
833;Kiko Femenía;996;77.2;16231;6754
834;Zinedine Ferhat;600;63.4;10721;4255
835;Bruno Fernandes;608;71.3;11698;3233
836;Edimilson Fernandes;614;84.9;12399;3454
837;Gedson Fernandes;40;78.4;576;169
838;Gelson Fernandes;208;81.9;3673;1058
839;Matheus Fernandes;43;69.4;702;171
840;Aitor Fernández;751;67.2;23462;15254
841;Andrés Fernández;119;78.3;3111;1640
842;Carlos Fernández;381;60.8;5946;1432
843;Federico Fernández;907;76.6;20097;8025
844;Gabriel Fernández;84;68.3;1298;264
845;Joaquín Fernández;609;81.4;12948;3131
846;Fernandinho;1985;90.6;44219;14223
847;Fernando;1380;89.8;29498;6699
848;Juan Ferney Otero;241;66.6;3684;1189
849;Alex Ferrari;343;80.7;7985;2335
