;Player;ShootOnTarget;ShootPer90;GoalPerShoot
151;César Azpilicueta;6;0.81;0.07
152;Ludovic Baal;0;0.22;0.00
153;Iddrisu Baba;2;0.47;0.00
154;Khouma Babacar;16;2.97;0.06
155;Carlos Bacca;6;2.22;0.12
156;Milan Badelj;2;0.91;0.06
157;Matthias Bader;0;0.00;
158;Bastian Badu;0;10.00;0.00
159;Alejandro Baena;0;0.00;
160;Stéphane Bahoken;9;1.98;0.15
161;Daniel Baier;2;0.74;0.06
162;Leon Bailey;11;2.56;0.16
163;Eric Bailly;0;0.00;
164;Dénys Bain;1;0.21;0.33
165;Leighton Baines;0;0.22;0.00
166;Stefan Bajic;0;0.00;
167;Tiemoué Bakayoko;8;1.26;0.04
168;Lewis Baker;5;1.98;0.00
169;Mitchel Bakker;0;0.00;
170;Ridle Baku;6;0.84;0.05
171;Fabián Balbuena;4;0.76;0.10
172;Keita Baldé;13;2.94;0.14
173;George Baldock;5;0.34;0.15
174;Gareth Bale;13;2.81;0.06
175;Mikel Balenziaga;0;0.48;0.00
176;Leonardo Balerdi;0;0.00;
177;Marco Ballarini;0;0.00;
178;Fodé Ballo-Touré;2;0.27;0.00
179;Florent Balmont;3;1.57;0.00
180;Mario Balotelli;24;4.55;0.07
181;Abdoulaye Bamba;0;0.16;0.00
182;Jonathan Bamba;23;2.04;0.00
183;Éver Banega;8;1.38;0.03
184;Mattia Bani;7;0.69;0.24
185;Antonín Barák;2;1.86;0.00
186;Antonín Barák;13;2.24;0.06
187;Federico Barba;1;0.20;0.00
188;Danilo Barbosa;1;0.40;0.00
189;Melvin Bard;0;0.00;
190;Enis Bardhi;18;2.38;0.13
191;Phil Bardsley;5;0.57;0.00
192;Nicolò Barella;5;1.07;0.04
193;Philipp Bargfrede;0;0.77;0.00
194;Antonino Barillà;3;0.85;0.06
195;Kike Barja;3;1.73;0.00
196;Ross Barkley;12;3.26;0.03
197;Aymen Barkok;0;0.00;
198;Ashley Barnes;11;2.60;0.13
199;Harvey Barnes;27;2.64;0.10
200;Antonio Barragán;0;0.28;0.00
201;Antonio Barreca;3;0.49;0.00
202;Leandro Barreiro Martins;1;0.67;0.00
203;Ander Barrenetxea;5;3.05;0.00
204;Édgar Barreto;1;1.00;0.00
205;Musa Barrow;21;4.39;0.12
206;Musa Barrow;4;4.74;0.00
207;Fin Bartels;3;1.85;0.00
208;Marc Bartra;5;0.75;0.14
209;Daniele Baselli;3;0.49;0.00
210;Chris Basham;0;0.17;0.00
211;Toma Bašić;4;1.54;0.06
212;Thomas Basila;0;0.22;0.00
213;Gil Bastião Dias;2;1.52;0.00
214;Gil Bastião Dias;5;1.36;0.00
215;Borja Bastón;0;0.00;
216;Alessandro Bastoni;4;0.37;0.25
217;Bastos;2;0.82;0.14
218;Oliver Batista-Meier;0;0.00;
219;Michy Batshuayi;2;5.65;0.07
220;Cristian Battocchio;6;1.29;0.15
221;Oliver Baumann;0;0.00;
222;Julian Baumgartlinger;5;0.85;0.12
223;Christoph Baumgartner;23;3.38;0.13
224;Noah Joel Sarenren Bazee;3;0.94;0.25
225;Ihlas Bebou;16;1.50;0.17
226;Rodrigo Becão;2;0.33;0.13
227;Sheraldo Becker;4;1.17;0.00
228;Timo Becker;1;1.34;0.00
229;Jan Bednarek;1;0.21;0.14
230;Asmir Begović;0;0.00;
231;Valon Behrami;1;0.41;0.00
232;Maximilian Beier;3;4.95;0.00
233;Gaëtan Belaud;0;0.47;0.00
234;Ishak Belfodil;2;3.35;0.00
235;Haris Belkebla;3;0.35;0.00
236;Raoul Bellanova;0;0.00;
