;Player;Crosses;PenaltyWon;AerialWonRate
167;Tiemoué Bakayoko;14;0;62.5
168;Lewis Baker;2;0;60.0
169;Mitchel Bakker;0;0;0.0
170;Ridle Baku;68;0;38.3
171;Fabián Balbuena;1;0;62.2
172;Keita Baldé;14;1;44.3
173;George Baldock;96;1;40.2
174;Gareth Bale;51;0;64.7
175;Mikel Balenziaga;6;0;84.6
176;Leonardo Balerdi;0;0;25.0
177;Marco Ballarini;0;0;
178;Fodé Ballo-Touré;51;0;65.4
179;Florent Balmont;3;0;20.0
180;Mario Balotelli;12;0;52.9
181;Abdoulaye Bamba;13;0;50.0
182;Jonathan Bamba;22;2;38.1
183;Éver Banega;46;0;42.9
184;Mattia Bani;4;0;61.1
185;Antonín Barák;2;0;100.0
186;Antonín Barák;17;0;39.1
187;Federico Barba;5;0;77.8
188;Danilo Barbosa;3;0;46.7
189;Melvin Bard;1;0;100.0
190;Enis Bardhi;24;1;9.1
191;Phil Bardsley;20;0;55.9
192;Nicolò Barella;30;1;62.5
193;Philipp Bargfrede;1;0;63.6
194;Antonino Barillà;12;0;48.5
195;Kike Barja;8;0;38.5
196;Ross Barkley;9;0;40.0
197;Aymen Barkok;0;0;50.0
198;Ashley Barnes;1;1;32.8
199;Harvey Barnes;37;1;39.1
200;Antonio Barragán;37;0;75.0
201;Antonio Barreca;54;0;37.5
202;Leandro Barreiro Martins;2;0;35.6
203;Ander Barrenetxea;18;0;46.7
204;Édgar Barreto;0;0;0.0
205;Musa Barrow;27;0;37.9
206;Musa Barrow;1;0;26.7
207;Fin Bartels;8;0;36.4
208;Marc Bartra;2;0;66.1
209;Daniele Baselli;41;0;57.9
210;Chris Basham;38;0;61.8
211;Toma Bašić;10;0;62.5
212;Thomas Basila;3;0;50.0
213;Gil Bastião Dias;7;0;40.0
214;Gil Bastião Dias;18;0;43.5
215;Borja Bastón;0;0;25.0
216;Alessandro Bastoni;17;0;65.7
217;Bastos;1;0;47.6
218;Oliver Batista-Meier;0;0;
219;Michy Batshuayi;1;0;28.6
220;Cristian Battocchio;20;1;33.3
221;Oliver Baumann;0;0;
222;Julian Baumgartlinger;5;0;52.6
223;Christoph Baumgartner;10;1;42.7
224;Noah Joel Sarenren Bazee;9;1;41.9
225;Ihlas Bebou;36;0;45.9
226;Rodrigo Becão;3;0;70.0
227;Sheraldo Becker;19;0;20.0
228;Timo Becker;6;0;42.9
229;Jan Bednarek;0;0;71.0
230;Asmir Begović;0;0;
231;Valon Behrami;2;0;46.4
232;Maximilian Beier;1;0;33.3
233;Gaëtan Belaud;13;0;42.9
234;Ishak Belfodil;2;0;41.7
235;Haris Belkebla;3;0;32.6
236;Raoul Bellanova;0;0;0.0
237;Raoul Bellanova;0;0;
238;Karim Bellarabi;67;1;22.2
239;Jean-Ricner Bellegarde;14;1;15.2
240;Héctor Bellerín;22;0;43.3
241;Andrea Belotti;50;1;46.7
242;Fran Beltrán;6;0;20.5
243;Sami Ben Amar;0;0;25.0
244;Hatem Ben Arfa;1;0;100.0
245;Wissam Ben Yedder;24;1;20.4
246;Marco Benassi;12;0;23.8
247;Cristian Benavente;10;0;12.5
248;Lars Bender;19;0;46.7
249;Sven Bender;1;0;67.2
250;Darío Benedetto;10;1;38.5
251;László Bénes;24;0;50.0
252;Walter Benítez;0;0;
253;Loris Benito;26;0;53.8
254;Bilal Benkhedim;4;0;0.0
255;Ismaël Bennacer;9;0;49.0
256;Ryan Bennett;3;0;66.7
257;Ryan Bennett;1;0;47.6
258;Keanen Bennetts;0;0;0.0
259;Yassine Benrahou;3;0;0.0
260;Yassine Benrahou;22;0;15.4
