Name;Position;Age;Min;Goals;Goals.1;Asists;Asists.1;GoalAstPer90;90s;SCA;SCA90;ShootPass;ShootDrib;GCA;GCA90;AssistPass;AssistDrib;CompletedPasses;PassCompRatio;TotDistPass;ProgDistPass;Crosses;PenaltyWon;AerialWonRate;ShootOnTarget;ShootPer90;GoalPerShoot;TacklesWon;TklDribbling;Blocks;SuccPressRatio;MatchPlayed;PointPerMatch;TouchPenArea;SuccDrib;DribLegs;PlayerType;PlayerName;Value;Value2;Comp
Andrea Conti;DF;25.0;1725;0;0.0;2;0.1;0.1;19.2;25.0;1.3;21.0;0.0;2.0;0.1;2.0;0.0;888.0;83.8;15360.0;6156.0;22;0.0;56.7;0;0.05;0.0;31;18.0;36.0;23.9;23;1.78;15.0;9.0;0.0;Defender;Andrea Conti;9.0;M;it Serie A
Andrea Favilli;FW;22.0;658;0;0.0;0;0.0;0.0;7.3;12.0;1.64;10.0;0.0;0.0;0.0;0.0;0.0;141.0;73.1;2140.0;276.0;3;1.0;41.5;3;1.91;0.0;5;0.0;5.0;20.0;20;0.7;36.0;6.0;0.0;Forward;Andrea Favilli;3.0;M;it Serie A
Andrea Masiello;DF;33.0;1867;0;0.0;1;0.035;0.035;20.7;17.0;0.825;15.0;0.0;4.0;0.185;3.0;0.0;954.0;86.4;19675.0;7515.0;12;0.0;58.4;1;0.205;0.0;27;20.0;30.0;30.200000000000003;22;1.7650000000000001;13.0;7.0;0.0;Defender;Andrea Masiello;600.0;K;it Serie A
Andrea Petagna;FW;24.0;3032;12;0.36;1;0.03;0.39;33.7;85.0;2.52;68.0;6.0;1.0;0.03;1.0;0.0;644.0;73.5;11751.0;1965.0;31;0.0;40.9;25;3.09;0.07;4;0.0;19.0;22.3;36;0.56;165.0;57.0;3.0;Forward;Andrea Petagna;9.0;M;it Serie A
Andrea Pinamonti;FW;20.0;2236;5;0.2;1;0.04;0.24;24.8;43.0;1.73;25.0;3.0;6.0;0.24;2.0;1.0;440.0;70.5;6362.0;728.0;24;1.0;38.4;16;2.05;0.08;14;1.0;27.0;20.4;32;1.13;128.0;21.0;0.0;Forward;Andrea Pinamonti;4.0;M;it Serie A
Andrea Poli;MF;29.0;1919;2;0.09;0;0.0;0.09;21.3;44.0;2.06;34.0;1.0;1.0;0.05;1.0;0.0;954.0;89.5;16435.0;4272.0;16;0.0;36.1;7;1.13;0.08;40;17.0;33.0;29.9;28;1.36;28.0;20.0;0.0;Midfielder;Andrea Poli;4.0;M;it Serie A
Andrea Ranocchia;DF;31.0;526;0;0.0;0;0.0;0.0;5.8;2.0;0.34;1.0;0.0;0.0;0.0;0.0;0.0;298.0;88.4;7447.0;2155.0;0;0.0;84.4;0;0.86;0.0;9;4.0;13.0;37.3;7;2.43;6.0;1.0;0.0;Defender;Andrea Ranocchia;2.0;M;it Serie A
Andrea Rispoli;DF;30.0;1909;0;0.0;0;0.0;0.0;21.2;30.0;1.41;26.0;0.0;0.0;0.0;0.0;0.0;841.0;76.9;15523.0;7039.0;68;0.0;63.9;3;0.52;0.0;22;18.0;58.0;24.9;28;0.96;22.0;5.0;1.0;Defender;Andrea Rispoli;1.0;M;it Serie A
Andreas Christensen;DF;23.0;1751;0;0.0;0;0.0;0.0;19.5;11.0;0.57;10.0;0.0;1.0;0.05;1.0;0.0;1166.0;92.7;26595.0;6431.0;0;0.0;63.0;2;0.36;0.0;20;11.0;22.0;36.5;21;1.62;12.0;2.0;0.0;Defender;Andreas Christensen;30.0;M;eng Premier League
Andreas Cornelius;FW;26.0;1494;12;0.72;3;0.18;0.9;16.6;37.0;2.23;33.0;1.0;5.0;0.3;3.0;0.0;293.0;70.9;4529.0;801.0;9;1.0;60.4;20;2.71;0.27;6;2.0;6.0;26.0;26;1.46;89.0;18.0;1.0;Forward;Andreas Cornelius;9.0;M;it Serie A
Andreas Luthe;GK;32.0;900;0;0.0;0;0.0;0.0;10.0;1.0;0.1;1.0;0.0;0.0;0.0;0.0;0.0;294.0;70.2;9153.0;4738.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;10;1.2;0.0;0.0;0.0;Goalkeeper;Andreas Luthe;1.0;M;de Bundesliga
Andreas Pereira;MF;23.0;1484;1;0.06;3;0.18;0.24;16.5;57.0;3.46;44.0;3.0;7.0;0.42;6.0;0.0;566.0;73.5;9873.0;2763.0;29;0.0;32.5;14;2.24;0.03;12;10.0;24.0;26.6;25;1.72;61.0;20.0;0.0;Midfielder;Andreas Pereira;20.0;M;eng Premier League
Andreas Skov Olsen;FW;19.0;760;1;0.12;0;0.0;0.12;8.4;21.0;2.49;12.0;1.0;3.0;0.36;2.0;0.0;274.0;72.5;4807.0;1166.0;34;0.0;31.3;7;2.37;0.05;7;5.0;14.0;21.9;26;1.12;41.0;16.0;1.0;Forward;Andreas Skov Olsen;3.0;M;it Serie A
Andrei Girotto;DF;27.0;2177;1;0.04;0;0.0;0.04;24.2;12.0;0.5;9.0;0.0;1.0;0.04;0.0;0.0;1024.0;86.9;21050.0;7252.0;2;0.0;56.1;6;0.99;0.04;54;36.0;43.0;39.4;25;1.44;22.0;4.0;0.0;Defender;Andrei Girotto;6.0;M;fr Ligue 1
Andrew Robertson;DF;25.0;3111;2;0.06;12;0.35;0.41;34.6;112.0;3.24;89.0;5.0;20.0;0.58;16.0;3.0;2370.0;80.9;43609.0;14607.0;130;0.0;43.9;6;0.58;0.1;32;30.0;59.0;34.4;36;2.64;95.0;24.0;0.0;Defender;Andrew Robertson;50.0;M;eng Premier League
Andri Fannar Baldursson;MF;17.0;143;0;0.0;0;0.0;0.0;1.6;4.0;2.52;3.0;0.0;0.0;0.0;0.0;0.0;49.0;73.1;857.0;194.0;1;0.0;33.3;0;1.26;0.0;1;1.0;2.0;22.0;7;0.86;2.0;2.0;0.0;Midfielder;Andri Fannar Baldursson;400.0;K;it Serie A
Andriy Yarmolenko;MF;29.0;991;5;0.45;1;0.09;0.54;11.0;35.0;3.18;29.0;3.0;6.0;0.54;4.0;2.0;338.0;79.7;5558.0;1379.0;22;0.0;33.3;12;2.36;0.19;10;5.0;8.0;27.5;23;1.35;58.0;10.0;0.0;Midfielder;Andriy Yarmolenko;20.0;M;eng Premier League
Andros Townsend;MF;28.0;1294;1;0.07;1;0.07;0.14;14.4;23.0;1.6;17.0;0.0;2.0;0.14;2.0;0.0;325.0;70.7;5293.0;1866.0;44;0.0;25.0;5;0.83;0.08;20;14.0;28.0;22.4;24;1.04;28.0;36.0;1.0;Midfielder;Andros Townsend;20.0;M;eng Premier League
André Gomes;MF;26.0;1458;0;0.0;1;0.06;0.06;16.2;29.0;1.79;25.0;2.0;2.0;0.12;1.0;0.0;719.0;83.7;16373.0;4192.0;8;0.0;46.4;0;0.31;0.0;24;7.0;28.0;25.1;19;1.26;10.0;26.0;2.0;Midfielder;André Gomes;20.0;M;eng Premier League
André Hahn;FW;28.0;702;1;0.13;0;0.0;0.13;7.8;16.0;2.05;12.0;2.0;0.0;0.0;0.0;0.0;102.0;55.7;1777.0;486.0;15;0.0;58.7;4;1.92;0.07;5;1.0;26.0;25.4;15;1.27;36.0;8.0;1.0;Forward;André Hahn;7.0;M;de Bundesliga
André Silva;FW;23.0;1635;12;0.345;3;0.085;0.43;18.2;56.0;2.3200000000000003;41.0;6.0;7.0;0.2;3.0;1.0;346.0;62.45;5088.0;993.0;14;1.0;20.7;22;3.045;0.1;5;1.0;17.0;24.799999999999997;26;2.1;123.0;19.0;1.0;Forward;André Silva;20.0;M;it Serie A
Andrés Fernández;GK;32.0;360;0;0.0;1;0.25;0.25;4.0;1.0;0.25;1.0;0.0;1.0;0.25;1.0;0.0;119.0;78.3;3111.0;1640.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;4;1.0;0.0;0.0;0.0;Goalkeeper;Andrés Fernández;6.0;M;es La Liga
Andrés Guardado;MF;32.0;2046;0;0.0;3;0.13;0.13;22.7;59.0;2.6;46.0;3.0;7.0;0.31;4.0;1.0;876.0;84.1;17717.0;3767.0;9;0.0;33.3;4;0.53;0.0;18;14.0;31.0;23.4;28;1.32;23.0;18.0;1.0;Midfielder;Andrés Guardado;4.0;M;es La Liga
Andy Carroll;FW;30.0;632;0;0.0;4;0.57;0.57;7.0;20.0;2.85;19.0;0.0;7.0;1.0;7.0;0.0;134.0;64.7;2215.0;483.0;6;0.0;56.1;3;2.14;0.0;1;2.0;7.0;31.7;19;1.53;31.0;5.0;1.0;Forward;Andy Carroll;6.0;M;eng Premier League
Andy Delort;FW;27.0;2280;9;0.36;3;0.12;0.47;25.3;80.0;3.16;48.0;9.0;10.0;0.39;3.0;2.0;451.0;59.0;8284.0;1867.0;84;0.0;45.4;28;3.28;0.11;20;13.0;22.0;29.7;26;1.54;131.0;28.0;2.0;Forward;Andy Delort;10.0;M;fr Ligue 1
Andy Pelmard;DF;19.0;766;0;0.0;0;0.0;0.0;8.5;2.0;0.23;2.0;0.0;0.0;0.0;0.0;0.0;527.0;90.1;10225.0;2066.0;0;0.0;27.8;0;0.23;0.0;11;8.0;24.0;33.3;10;1.0;0.0;4.0;0.0;Defender;Andy Pelmard;1.0;M;fr Ligue 1
