Name;Position;Age;Min;Goals;Goals.1;Asists;Asists.1;GoalAstPer90;90s;SCA;SCA90;ShootPass;ShootDrib;GCA;GCA90;AssistPass;AssistDrib;CompletedPasses;PassCompRatio;TotDistPass;ProgDistPass;Crosses;PenaltyWon;AerialWonRate;ShootOnTarget;ShootPer90;GoalPerShoot;TacklesWon;TklDribbling;Blocks;SuccPressRatio;MatchPlayed;PointPerMatch;TouchPenArea;SuccDrib;DribLegs;PlayerType;PlayerName;Value;Value2;Comp
Clément Grenier;MF;28.0;839;1;0.11;0;0.0;0.11;9.3;26.0;2.79;19.0;2.0;2.0;0.21;0.0;1.0;334.0;74.2;6357.0;1841.0;7;0.0;68.8;2;0.75;0.14;10;11.0;9.0;23.9;11;1.27;7.0;6.0;0.0;Midfielder;Clément Grenier;4.0;M;fr Ligue 1
Coke;DF;32.0;989;1;0.09;0;0.0;0.09;11.0;17.0;1.55;13.0;2.0;0.0;0.0;0.0;0.0;463.0;80.2;8864.0;3653.0;17;0.0;60.7;2;0.73;0.13;15;9.0;16.0;30.8;17;1.29;24.0;15.0;0.0;Defender;Coke;2.0;M;es La Liga
Colin Dagba;DF;20.0;668;0;0.0;0;0.0;0.0;7.4;10.0;1.35;6.0;2.0;1.0;0.13;1.0;0.0;372.0;89.9;5527.0;1409.0;22;0.0;16.7;0;0.27;0.0;4;3.0;12.0;29.9;10;2.4;16.0;9.0;0.0;Defender;Colin Dagba;3.0;M;fr Ligue 1
Connor Wickham;FW;26.0;96;1;0.94;1;0.94;1.87;1.1;2.0;1.87;2.0;0.0;0.0;0.0;0.0;0.0;29.0;65.9;440.0;90.0;1;0.0;58.8;2;3.75;0.25;2;0.0;3.0;35.7;6;1.0;7.0;2.0;0.0;Forward;Connor Wickham;6.0;M;eng Premier League
Conor Coady;DF;26.0;3420;0;0.0;0;0.0;0.0;38.0;13.0;0.34;13.0;0.0;0.0;0.0;0.0;0.0;1531.0;85.9;42435.0;14948.0;0;0.0;63.6;0;0.0;0.0;22;19.0;37.0;33.7;38;1.55;0.0;6.0;0.0;Defender;Conor Coady;20.0;M;eng Premier League
Conor Hourihane;MF;28.0;1534;3;0.18;5;0.29;0.47;17.0;57.0;3.34;25.0;0.0;7.0;0.41;2.0;0.0;542.0;75.2;10353.0;3235.0;45;1.0;52.4;10;1.7;0.1;14;8.0;27.0;17.0;27;1.04;32.0;6.0;0.0;Midfielder;Conor Hourihane;6.0;M;eng Premier League
Corentin Jean;DF;24.0;7;0;0.0;0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;55.6;88.0;22.0;1;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;Defender;Corentin Jean;2.0;M;fr Ligue 1
Craig Dawson;DF;29.0;2361;2;0.08;0;0.0;0.08;26.2;12.0;0.46;7.0;0.0;0.0;0.0;0.0;0.0;729.0;80.3;17541.0;5763.0;3;0.0;75.5;7;0.88;0.09;19;14.0;56.0;39.5;29;0.9;47.0;2.0;0.0;Defender;Craig Dawson;7.0;M;eng Premier League
Cristian Ansaldi;DF;32.0;1768;4;0.2;4;0.2;0.41;19.6;58.0;2.95;42.0;5.0;8.0;0.41;6.0;2.0;582.0;70.5;12734.0;4919.0;123;0.0;46.7;8;1.43;0.14;27;14.0;28.0;33.9;27;1.0;50.0;53.0;2.0;Defender;Cristian Ansaldi;1.0;M;it Serie A
Cristian Battocchio;MF;27.0;1392;3;0.19;1;0.06;0.26;15.5;32.0;2.07;17.0;0.0;4.0;0.26;1.0;0.0;667.0;79.5;13788.0;3727.0;20;1.0;33.3;6;1.29;0.15;25;9.0;18.0;25.5;24;1.38;22.0;10.0;1.0;Midfielder;Cristian Battocchio;600.0;K;fr Ligue 1
Cristian Dell'Orco;DF;25.0;1007;0;0.0;1;0.09;0.09;11.2;17.0;1.52;16.0;0.0;1.0;0.09;1.0;0.0;444.0;79.9;8924.0;3445.0;26;0.0;68.6;0;0.0;0.0;16;10.0;20.0;31.4;14;0.64;7.0;4.0;1.0;Defender;Cristian Dell'Orco;1.0;M;it Serie A
Cristian Romero;DF;21.0;2577;1;0.03;1;0.03;0.07;28.6;23.0;0.8;16.0;2.0;4.0;0.14;2.0;0.0;1350.0;87.9;28659.0;9009.0;5;1.0;66.1;3;0.49;0.0;37;19.0;73.0;32.7;30;1.0;29.0;14.0;0.0;Defender;Cristian Romero;10.0;M;it Serie A
Cristian Tello;MF;27.0;787;2;0.23;0;0.0;0.23;8.7;20.0;2.29;16.0;1.0;0.0;0.0;0.0;0.0;285.0;75.6;5128.0;1284.0;15;0.0;33.3;6;2.17;0.11;7;4.0;7.0;27.5;27;0.7;31.0;12.0;1.0;Midfielder;Cristian Tello;10.0;M;es La Liga
Cristiano Biraghi;DF;26.0;1576;2;0.11;6;0.34;0.46;17.5;57.0;3.26;38.0;3.0;12.0;0.69;10.0;1.0;646.0;71.7;11791.0;4758.0;83;0.0;22.2;6;0.57;0.2;14;10.0;51.0;23.0;26;2.27;26.0;8.0;1.0;Defender;Cristiano Biraghi;9.0;M;it Serie A
Cristiano Piccini;DF;26.0;75;0;0.0;0;0.0;0.0;0.8;1.0;1.2;0.0;0.0;0.0;0.0;0.0;0.0;41.0;80.4;764.0;258.0;2;0.0;100.0;0;1.2;0.0;0;2.0;1.0;18.8;2;0.5;1.0;3.0;0.0;Defender;Cristiano Piccini;10.0;M;es La Liga
Cristián Zapata;DF;32.0;1718;1;0.05;0;0.0;0.05;19.1;13.0;0.68;8.0;1.0;0.0;0.0;0.0;0.0;808.0;92.4;16783.0;4698.0;3;0.0;72.8;2;0.63;0.08;21;9.0;41.0;34.4;20;1.15;20.0;7.0;0.0;Defender;Cristián Zapata;1.0;M;it Serie A
César Azpilicueta;DF;29.0;3229;2;0.06;6;0.17;0.22;35.9;80.0;2.23;71.0;1.0;7.0;0.2;6.0;0.0;2267.0;79.9;40363.0;15489.0;110;0.0;61.0;6;0.81;0.07;61;37.0;81.0;32.7;36;1.75;98.0;15.0;1.0;Defender;César Azpilicueta;30.0;M;eng Premier League
Daichi Kamada;MF;22.0;1969;2;0.09;4;0.18;0.27;21.9;88.0;4.02;53.0;12.0;12.0;0.55;6.0;1.0;579.0;74.9;10747.0;2647.0;31;0.0;24.2;19;2.19;0.04;21;5.0;18.0;29.1;28;1.14;88.0;37.0;0.0;Midfielder;Daichi Kamada;4.0;M;de Bundesliga
Daishawn Redan;FW;18.0;21;0;0.0;0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;85.7;74.0;14.0;1;0.0;0.0;0;4.29;0.0;0;0.0;0.0;0.0;1;0.0;1.0;1.0;0.0;Forward;Daishawn Redan;1.0;M;de Bundesliga
Dale Stephens;MF;30.0;2530;0;0.0;1;0.04;0.04;28.1;41.0;1.46;38.0;0.0;3.0;0.11;3.0;0.0;1421.0;86.6;29953.0;7023.0;5;0.0;46.5;2;0.64;0.0;40;21.0;43.0;32.3;33;1.12;9.0;10.0;0.0;Midfielder;Dale Stephens;10.0;M;eng Premier League
Daley Sinkgraven;DF;24.0;909;0;0.0;1;0.1;0.1;10.1;16.0;1.58;14.0;1.0;1.0;0.1;1.0;0.0;626.0;84.8;12060.0;3680.0;12;0.0;36.8;0;0.0;0.0;16;9.0;15.0;37.8;13;2.23;6.0;10.0;1.0;Defender;Daley Sinkgraven;3.0;M;de Bundesliga
Damien Da Silva;DF;31.0;2244;1;0.04;2;0.08;0.12;24.9;13.0;0.52;12.0;0.0;2.0;0.08;2.0;0.0;1068.0;87.5;24093.0;6897.0;2;0.0;74.6;3;0.24;0.17;17;6.0;38.0;37.1;25;1.92;11.0;10.0;0.0;Defender;Damien Da Silva;2.0;M;fr Ligue 1
Damien Le Tallec;MF;29.0;2458;2;0.07;0;0.0;0.07;27.3;28.0;1.03;22.0;0.0;3.0;0.11;2.0;0.0;797.0;80.6;15954.0;5188.0;10;0.0;51.2;7;0.59;0.13;35;20.0;51.0;30.5;28;1.43;39.0;4.0;1.0;Midfielder;Damien Le Tallec;3.0;M;fr Ligue 1
Damián Suárez;DF;31.0;2592;1;0.03;4;0.14;0.17;28.8;75.0;2.6;41.0;5.0;9.0;0.31;7.0;1.0;992.0;65.5;19865.0;11329.0;67;0.0;41.9;5;0.69;0.05;49;36.0;45.0;31.2;30;1.53;17.0;24.0;2.0;Defender;Damián Suárez;5.0;M;es La Liga
Dan Burn;DF;27.0;2880;0;0.0;0;0.0;0.0;32.0;35.0;1.09;29.0;1.0;2.0;0.06;2.0;0.0;1389.0;75.4;23985.0;8736.0;40;0.0;72.5;0;0.41;0.0;36;24.0;67.0;35.3;34;1.15;32.0;25.0;2.0;Defender;Dan Burn;10.0;M;eng Premier League
Dan-Axel Zagadou;DF;20.0;983;1;0.09;1;0.09;0.18;10.9;11.0;1.01;11.0;0.0;1.0;0.09;1.0;0.0;762.0;92.1;16115.0;4912.0;1;0.0;74.0;3;0.37;0.25;12;5.0;25.0;48.4;15;2.13;7.0;6.0;0.0;Defender;Dan-Axel Zagadou;7.0;M;de Bundesliga
Dani Carvajal;DF;27.0;2738;1;0.03;5;0.16;0.2;30.4;74.0;2.43;61.0;4.0;6.0;0.2;4.0;0.0;2058.0;84.6;36020.0;12111.0;93;1.0;45.8;9;0.66;0.05;53;19.0;71.0;29.9;31;2.39;75.0;30.0;2.0;Defender;Dani Carvajal;30.0;M;es La Liga
Dani Ceballos;MF;22.0;1692;0;0.0;2;0.11;0.11;18.8;49.0;2.61;32.0;0.0;8.0;0.43;5.0;0.0;1096.0;84.2;22107.0;5542.0;22;0.0;33.3;3;0.69;0.0;28;17.0;29.0;27.0;24;1.75;21.0;29.0;4.0;Midfielder;Dani Ceballos;20.0;M;eng Premier League
Dani García;MF;29.0;3029;0;0.0;1;0.03;0.03;33.7;25.0;0.74;18.0;1.0;1.0;0.03;1.0;0.0;1225.0;83.3;26372.0;5815.0;3;0.0;53.6;0;0.42;0.0;43;22.0;52.0;30.9;36;1.33;12.0;9.0;1.0;Midfielder;Dani García;20.0;M;es La Liga
Daniel Brosinski;DF;31.0;1709;2;0.11;4;0.21;0.32;19.0;85.0;4.48;44.0;3.0;4.0;0.21;0.0;0.0;664.0;62.9;15086.0;8183.0;83;0.0;45.2;7;1.16;0.05;14;16.0;41.0;29.7;26;1.08;19.0;13.0;4.0;Defender;Daniel Brosinski;2.0;M;de Bundesliga
Daniel Caligiuri;MF;31.0;2293;2;0.08;2;0.08;0.16;25.5;87.0;3.41;38.0;6.0;8.0;0.31;3.0;0.0;637.0;63.9;11598.0;4744.0;48;0.0;51.7;11;1.69;0.02;31;34.0;84.0;32.2;28;1.29;61.0;45.0;2.0;Midfielder;Daniel Caligiuri;10.0;M;de Bundesliga
Daniel Congré;DF;34.0;1941;0;0.0;1;0.05;0.05;21.6;12.0;0.56;8.0;0.0;3.0;0.14;1.0;0.0;755.0;83.9;15249.0;6853.0;5;1.0;55.4;2;0.37;0.0;23;16.0;29.0;31.4;24;1.46;8.0;4.0;0.0;Defender;Daniel Congré;300.0;K;fr Ligue 1
Daniel Ginczek;FW;28.0;768;3;0.35;1;0.12;0.47;8.5;20.0;2.34;13.0;1.0;3.0;0.35;1.0;0.0;132.0;66.3;2108.0;368.0;4;0.0;43.8;6;2.81;0.13;3;1.0;6.0;34.7;18;1.39;37.0;5.0;0.0;Forward;Daniel Ginczek;6.0;M;de Bundesliga
Daniel Podence;FW;23.0;289;1;0.31;0;0.0;0.31;3.2;11.0;3.43;7.0;1.0;2.0;0.62;0.0;1.0;74.0;70.5;1110.0;232.0;5;1.0;0.0;4;3.11;0.1;2;0.0;5.0;30.2;9;1.78;16.0;9.0;0.0;Forward;Daniel Podence;20.0;M;eng Premier League
Daniel Wass;DF;30.0;2733;1;0.03;6;0.2;0.23;30.4;39.0;1.28;30.0;2.0;8.0;0.26;6.0;2.0;1286.0;80.3;22599.0;7995.0;66;0.0;59.7;4;0.53;0.06;32;23.0;54.0;25.1;35;1.43;37.0;10.0;0.0;Defender;Daniel Wass;10.0;M;es La Liga
Daniele Baselli;MF;27.0;1278;0;0.0;2;0.14;0.14;14.2;29.0;2.04;18.0;0.0;2.0;0.14;1.0;0.0;584.0;80.7;11724.0;3008.0;41;0.0;57.9;3;0.49;0.0;32;12.0;32.0;26.4;16;1.13;9.0;13.0;0.0;Midfielder;Daniele Baselli;7.0;M;it Serie A
Daniele Padelli;GK;33.0;270;0;0.0;0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;76.0;83.5;1998.0;980.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;3;1.5;0.0;0.0;0.0;Goalkeeper;Daniele Padelli;200.0;K;it Serie A
Daniele Rugani;DF;25.0;690;0;0.0;0;0.0;0.0;7.7;3.0;0.39;3.0;0.0;1.0;0.13;1.0;0.0;395.0;90.6;7659.0;2677.0;0;0.0;73.6;2;0.78;0.0;6;4.0;12.0;26.9;10;1.6;6.0;0.0;0.0;Defender;Daniele Rugani;7.0;M;it Serie A
Danilo;DF;28.0;4320;6;0.12;0;0.0;0.12;48.0;108.0;2.25;87.0;3.0;12.0;0.25;9.0;0.0;3153.0;86.2;56334.0;18150.0;60;0.0;56.70000000000001;12;0.87;0.14;51;42.0;66.0;32.3;66;2.09;54.0;42.0;0.0;Defender;Danilo;300.0;M;it Serie A
Danilo Cataldi;MF;24.0;592;1;0.15;0;0.0;0.15;6.6;28.0;4.26;19.0;1.0;2.0;0.3;1.0;0.0;377.0;83.0;7610.0;2821.0;11;0.0;71.4;1;1.37;0.11;14;6.0;8.0;24.3;21;2.1;6.0;4.0;0.0;Midfielder;Danilo Cataldi;8.0;M;it Serie A
Danilo D'Ambrosio;DF;30.0;1402;4;0.26;0;0.0;0.26;15.6;16.0;1.03;12.0;1.0;0.0;0.0;0.0;0.0;768.0;85.1;14027.0;4611.0;16;0.0;54.1;4;0.45;0.57;20;14.0;24.0;27.2;22;2.36;26.0;12.0;0.0;Defender;Danilo D'Ambrosio;6.0;M;it Serie A
Danny Drinkwater;MF;29.0;317;0;0.0;0;0.0;0.0;3.5;4.0;0.695;3.0;0.0;0.0;0.0;0.0;0.0;147.0;68.2;2821.0;604.0;1;0.0;25.0;0;0.345;0.0;7;1.0;4.0;21.25;5;0.5;2.0;2.0;0.0;Midfielder;Danny Drinkwater;5.0;M;eng Premier League
Danny Ings;FW;27.0;2804;22;0.71;2;0.06;0.77;31.2;91.0;2.92;55.0;14.0;13.0;0.42;5.0;5.0;437.0;64.5;6768.0;1798.0;31;2.0;25.5;35;2.89;0.23;32;15.0;64.0;26.4;38;1.37;180.0;57.0;7.0;Forward;Danny Ings;40.0;M;eng Premier League
Danny Latza;MF;29.0;1373;0;0.0;2;0.13;0.13;15.3;32.0;2.1;27.0;1.0;4.0;0.26;2.0;1.0;494.0;80.6;9965.0;2561.0;7;1.0;48.1;3;0.98;0.0;22;14.0;22.0;26.7;23;1.22;18.0;19.0;1.0;Midfielder;Danny Latza;3.0;M;de Bundesliga
Danny Rose;DF;29.0;1756;0;0.0;0;0.0;0.0;19.5;23.0;1.17;17.0;0.0;1.0;0.05;0.0;0.0;760.0;76.8;13274.0;5327.0;37;0.0;51.45;0;0.1;0.0;28;16.0;34.0;32.25;23;1.08;17.0;14.0;1.0;Defender;Danny Rose;5.0;M;eng Premier League
Danny Welbeck;FW;28.0;822;2;0.22;0;0.0;0.22;9.1;9.0;0.99;6.0;2.0;1.0;0.11;0.0;0.0;131.0;78.0;1791.0;447.0;2;1.0;50.0;9;2.3;0.1;9;1.0;12.0;31.0;18;0.56;48.0;9.0;0.0;Forward;Danny Welbeck;20.0;M;eng Premier League
Danny da Costa;DF;26.0;1389;1;0.06;4;0.26;0.32;15.4;40.0;2.59;31.0;4.0;10.0;0.65;7.0;2.0;408.0;65.2;7946.0;3122.0;66;0.0;50.0;4;1.04;0.06;21;10.0;27.0;29.6;19;1.63;45.0;23.0;0.0;Defender;Danny da Costa;2.0;M;de Bundesliga
Dante;DF;35.0;1890;1;0.05;0;0.0;0.05;21.0;17.0;0.81;13.0;0.0;1.0;0.05;0.0;0.0;1466.0;92.3;30763.0;11130.0;1;0.0;71.6;6;0.9;0.05;19;14.0;47.0;36.1;21;1.48;20.0;10.0;0.0;Defender;Dante;400.0;K;fr Ligue 1
Dario Maresic;DF;19.0;90;0;0.0;0;0.0;0.0;1.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;53.0;82.8;1155.0;374.0;0;0.0;33.3;0;0.0;0.0;0;0.0;1.0;50.0;1;3.0;0.0;0.0;0.0;Defender;Dario Maresic;3.0;M;fr Ligue 1
Darren Randolph;GK;32.0;180;0;0.0;0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;55.0;1244.0;1093.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;2;0.5;0.0;0.0;0.0;Goalkeeper;Darren Randolph;9.0;M;eng Premier League
Darwin Machís;FW;26.0;2129;7;0.3;5;0.21;0.51;23.7;84.0;3.55;47.0;7.0;10.0;0.42;6.0;0.0;361.0;62.0;6674.0;2348.0;76;0.0;32.8;27;3.04;0.08;19;12.0;36.0;26.3;36;1.47;82.0;51.0;5.0;Forward;Darwin Machís;6.0;M;es La Liga
Darío Benedetto;FW;29.0;2101;11;0.47;0;0.0;0.47;23.3;38.0;1.63;28.0;2.0;6.0;0.26;1.0;1.0;342.0;68.0;6435.0;846.0;10;1.0;38.5;27;2.57;0.18;14;5.0;19.0;25.0;26;1.92;98.0;21.0;1.0;Forward;Darío Benedetto;10.0;M;fr Ligue 1
Darío Poveda;FW;22.0;8;0;0.0;0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;75.0;30.0;0.0;0;0.0;66.7;0;11.25;0.0;0;0.0;0.0;66.7;1;1.0;1.0;0.0;0.0;Forward;Darío Poveda;500.0;K;es La Liga
David Abraham;DF;33.0;1688;2;0.11;0;0.0;0.11;18.8;11.0;0.59;10.0;0.0;0.0;0.0;0.0;0.0;742.0;82.8;16639.0;6079.0;5;0.0;61.4;4;0.37;0.29;22;16.0;32.0;37.5;20;1.85;11.0;9.0;1.0;Defender;David Abraham;500.0;K;de Bundesliga
David Costas;DF;24.0;338;0;0.0;0;0.0;0.0;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;182.0;91.9;3688.0;1173.0;0;0.0;53.3;0;0.27;0.0;4;0.0;6.0;34.6;6;0.83;2.0;0.0;0.0;Defender;David Costas;3.0;M;es La Liga
David García;DF;25.0;2793;0;0.0;0;0.0;0.0;31.0;17.0;0.55;14.0;0.0;2.0;0.06;1.0;0.0;861.0;74.2;20513.0;7944.0;0;0.0;72.2;5;0.61;0.0;27;17.0;46.0;35.4;32;1.31;27.0;2.0;0.0;Defender;David García;3.0;M;es La Liga
David Juncà;DF;25.0;258;0;0.0;0;0.0;0.0;2.9;3.0;1.05;3.0;0.0;0.0;0.0;0.0;0.0;115.0;75.7;2071.0;739.0;11;0.0;100.0;0;0.0;0.0;3;2.0;3.0;25.0;3;0.0;2.0;3.0;0.0;Defender;David Juncà;3.0;M;es La Liga
David Luiz;DF;32.0;2809;2;0.06;1;0.03;0.1;31.2;11.0;0.35;8.0;0.0;4.0;0.13;4.0;0.0;1481.0;86.5;36779.0;10647.0;5;0.0;63.0;7;0.74;0.09;20;10.0;63.0;34.6;33;1.42;19.0;4.0;0.0;Defender;David Luiz;9.0;M;eng Premier League
David Martin;GK;33.0;436;0;0.0;0;0.0;0.0;4.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.0;44.4;2858.0;2411.0;0;0.0;0.0;0;0.0;0.0;0;0.0;1.0;100.0;5;1.2;0.0;0.0;0.0;Goalkeeper;David Martin;200.0;K;eng Premier League
David McGoldrick;FW;31.0;1815;2;0.1;2;0.1;0.2;20.2;39.0;1.93;26.0;5.0;4.0;0.2;3.0;1.0;475.0;76.2;7903.0;1290.0;11;0.0;37.8;19;2.28;0.04;26;5.0;20.0;25.7;28;1.43;66.0;31.0;2.0;Forward;David McGoldrick;10.0;M;eng Premier League
David Ospina;GK;30.0;1469;0;0.0;0;0.0;0.0;16.3;2.0;0.12;2.0;0.0;0.0;0.0;0.0;0.0;407.0;87.2;9549.0;5616.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;17;1.76;0.0;0.0;0.0;Goalkeeper;David Ospina;10.0;M;it Serie A
David Soria;GK;26.0;3420;0;0.0;0;0.0;0.0;38.0;5.0;0.13;2.0;0.0;0.0;0.0;0.0;0.0;503.0;44.5;26351.0;21646.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;38;1.42;0.0;0.0;0.0;Goalkeeper;David Soria;10.0;M;es La Liga
David Timor;MF;29.0;943;3;0.29;0;0.0;0.29;10.5;18.0;1.72;8.0;0.0;0.0;0.0;0.0;0.0;251.0;62.1;5933.0;2163.0;14;0.0;55.9;7;1.81;0.16;6;3.0;10.0;27.5;22;1.68;7.0;2.0;0.0;Midfielder;David Timor;4.0;M;es La Liga
Davide Biraschi;DF;25.0;1971;0;0.0;1;0.05;0.05;21.9;22.0;1.0;14.0;1.0;3.0;0.14;2.0;0.0;895.0;75.0;17321.0;7297.0;22;1.0;69.0;2;0.27;0.0;31;13.0;39.0;34.0;24;0.96;12.0;37.0;1.0;Defender;Davide Biraschi;6.0;M;it Serie A
Davide Calabria;DF;22.0;1622;1;0.06;1;0.06;0.11;18.0;28.0;1.55;21.0;0.0;5.0;0.28;3.0;0.0;945.0;80.8;18601.0;7475.0;29;0.0;55.6;2;0.72;0.08;20;20.0;42.0;26.1;25;1.76;28.0;11.0;0.0;Defender;Davide Calabria;8.0;M;it Serie A
Davide Faraoni;DF;27.0;3228;5;0.14;3;0.08;0.22;35.9;60.0;1.67;43.0;3.0;4.0;0.11;3.0;0.0;1228.0;71.9;23605.0;10333.0;95;0.0;49.4;13;1.17;0.12;36;22.0;93.0;31.0;36;1.33;71.0;41.0;6.0;Defender;Davide Faraoni;8.0;M;it Serie A
Davide Santon;DF;28.0;619;0;0.0;0;0.0;0.0;6.9;6.0;0.87;3.0;0.0;1.0;0.15;0.0;0.0;367.0;90.4;7234.0;1670.0;6;0.0;84.6;1;0.29;0.0;9;4.0;15.0;31.7;15;1.87;5.0;13.0;0.0;Defender;Davide Santon;6.0;M;it Serie A
Davide Zappacosta;DF;27.0;452;0;0.0;1;0.2;0.2;5.0;10.0;1.99;8.0;1.0;3.0;0.6;2.0;0.0;200.0;81.3;3586.0;776.0;21;0.0;0.0;0;0.8;0.0;3;5.0;8.0;22.1;9;1.78;12.0;7.0;3.0;Defender;Davide Zappacosta;20.0;M;it Serie A
Davie Selke;FW;24.0;1423;1;0.045;1;0.045;0.095;15.799999999999999;26.0;1.625;15.0;1.0;1.0;0.045;1.0;0.0;232.0;63.7;2857.0;524.0;11;0.0;52.95;8;2.155;0.025;6;3.0;10.0;24.85;30;1.035;69.0;11.0;1.0;Forward;Davie Selke;5.0;M;de Bundesliga
Davinson Sánchez;DF;23.0;2431;0;0.0;0;0.0;0.0;27.0;6.0;0.22;5.0;0.0;0.0;0.0;0.0;0.0;1298.0;86.8;28029.0;8014.0;2;0.0;60.5;3;0.3;0.0;36;17.0;56.0;37.8;29;1.55;17.0;8.0;0.0;Defender;Davinson Sánchez;30.0;M;eng Premier League
Davy Pröpper;MF;27.0;2829;1;0.03;2;0.06;0.1;31.4;63.0;2.0;56.0;1.0;4.0;0.13;4.0;0.0;1483.0;83.1;28711.0;8234.0;28;0.0;48.0;8;0.99;0.03;38;22.0;39.0;29.8;35;1.09;29.0;40.0;2.0;Midfielder;Davy Pröpper;30.0;M;eng Premier League
DeAndre Yedlin;DF;26.0;938;1;0.1;0;0.0;0.1;10.4;15.0;1.44;13.0;1.0;0.0;0.0;0.0;0.0;228.0;72.2;3725.0;1542.0;19;0.0;31.8;1;0.1;1.0;14;4.0;26.0;21.0;16;1.25;5.0;5.0;0.0;Defender;DeAndre Yedlin;8.0;M;eng Premier League
Dean Henderson;GK;22.0;3240;0;0.0;0;0.0;0.0;36.0;4.0;0.11;2.0;0.0;0.0;0.0;0.0;0.0;424.0;41.0;21127.0;17079.0;0;0.0;100.0;0;0.03;0.0;0;0.0;1.0;0.0;36;1.47;1.0;0.0;0.0;Goalkeeper;Dean Henderson;30.0;M;eng Premier League
Declan Rice;MF;20.0;3420;1;0.03;3;0.08;0.11;38.0;47.0;1.24;41.0;2.0;7.0;0.18;5.0;0.0;1476.0;86.0;30023.0;7543.0;22;0.0;60.7;9;0.79;0.03;89;32.0;68.0;28.9;38;1.03;29.0;41.0;0.0;Midfielder;Declan Rice;30.0;M;eng Premier League
Dedryck Boyata;DF;28.0;2436;4;0.15;1;0.04;0.18;27.1;6.0;0.22;5.0;0.0;1.0;0.04;1.0;0.0;1219.0;90.6;29167.0;6620.0;0;0.0;74.3;4;0.67;0.22;20;8.0;44.0;32.5;28;1.29;28.0;12.0;0.0;Defender;Dedryck Boyata;7.0;M;de Bundesliga
Dele Alli;MF;23.0;1847;8;0.39;4;0.19;0.58;20.5;54.0;2.63;39.0;9.0;12.0;0.58;5.0;5.0;621.0;77.1;10289.0;2384.0;5;0.0;34.7;18;1.9;0.18;29;8.0;53.0;28.2;25;1.4;96.0;32.0;7.0;Midfielder;Dele Alli;30.0;M;eng Premier League
Demarai Gray;MF;23.0;622;2;0.29;3;0.43;0.72;6.9;29.0;4.2;25.0;1.0;6.0;0.87;5.0;0.0;271.0;82.9;4329.0;850.0;22;1.0;30.0;6;3.04;0.1;5;3.0;10.0;30.2;21;1.76;40.0;11.0;0.0;Midfielder;Demarai Gray;20.0;M;eng Premier League
Denis Bouanga;FW;24.0;2042;10;0.44;3;0.13;0.57;22.7;61.0;2.69;27.0;13.0;7.0;0.31;2.0;0.0;408.0;68.0;6746.0;1860.0;46;0.0;38.0;34;3.35;0.09;35;22.0;34.0;25.1;26;1.15;114.0;64.0;4.0;Forward;Denis Bouanga;6.0;M;fr Ligue 1
Denis Cheryshev;MF;28.0;926;1;0.1;2;0.19;0.29;10.3;21.0;2.04;15.0;0.0;4.0;0.39;4.0;0.0;240.0;68.8;4058.0;1037.0;40;1.0;40.0;7;2.04;0.05;7;4.0;24.0;21.4;24;1.42;49.0;13.0;2.0;Midfielder;Denis Cheryshev;10.0;M;es La Liga
Denis Suárez;MF;25.0;1630;1;0.06;5;0.28;0.33;18.1;57.0;3.15;37.0;3.0;5.0;0.28;5.0;0.0;664.0;75.8;11388.0;3795.0;40;1.0;15.8;9;1.05;0.05;16;9.0;19.0;24.5;26;1.04;51.0;56.0;4.0;Midfielder;Denis Suárez;20.0;M;es La Liga
Denis Vavro;DF;23.0;328;0;0.0;0;0.0;0.0;3.6;1.0;0.27;1.0;0.0;0.0;0.0;0.0;0.0;188.0;91.7;4163.0;1442.0;0;0.0;60.0;0;0.82;0.0;1;1.0;10.0;40.9;11;1.64;1.0;1.0;0.0;Defender;Denis Vavro;5.0;M;it Serie A
Denis Zakaria;MF;22.0;1947;2;0.09;2;0.09;0.18;21.6;26.0;1.2;23.0;2.0;4.0;0.18;4.0;0.0;787.0;86.7;14796.0;3781.0;1;0.0;57.4;5;1.06;0.09;54;17.0;45.0;33.2;23;2.0;18.0;47.0;0.0;Midfielder;Denis Zakaria;9.0;M;de Bundesliga
