;Player;TacklesWon;TklDribbling;Blocks;SuccPressRatio
1940;Ricardo Pereira;68;56;59;31.3
1941;Gastón Pereiro;2;1;3;15.1
1942;Bruno Peres;9;7;18;26.2
1943;Roberto Pereyra;10;5;39;26.5
1944;Ayoze Pérez;34;14;32;30.3
1945;Carles Pérez;3;0;4;32.0
1946;Carles Pérez;7;1;8;25.2
1947;Iñigo Pérez;7;5;16;30.2
1948;Juan Pérez;0;0;0;0.0
1949;Kike Pérez;5;3;2;30.6
1950;Lucas Pérez;10;2;13;27.4
1951;Rubén Pérez;42;16;46;32.6
1952;Samuel Pérez;0;0;0;
1953;Mattia Perin;0;0;0;66.7
1954;Ivan Perišić;16;7;16;34.0
1955;Diego Perotti;9;5;13;32.1
1956;Romain Perraud;19;14;42;32.1
1957;Loïc Perrin;22;10;30;39.2
1958;Lucas Perrin;6;4;4;37.8
1959;Pavao Pervan;0;0;0;
1960;Matteo Pessina;31;7;50;30.8
1961;Andrea Petagna;4;0;19;22.3
1962;Nils Petersen;16;6;34;25.2
1963;Danijel Petković;0;0;0;
1964;Denis Petrić;0;1;0;0.0
1965;Jacopo Petriccione;27;12;40;26.2
1966;Germán Pezzella;28;11;54;39.0
1967;Giuseppe Pezzella;0;0;1;25.0
1968;Giuseppe Pezzella;6;7;29;31.5
1969;Rayan Philippe;1;0;2;0.0
1970;Romain Philippoteaux;12;7;28;24.7
1971;Krzysztof Piątek;1;2;8;24.3
1972;Krzysztof Piątek;1;2;11;24.8
1973;Pablo Piatti;1;1;1;36.4
1974;Cristiano Piccini;0;2;1;18.8
1975;Stefano Piccinini;0;0;0;33.3
1976;Roberto Piccoli;0;0;1;60.0
1977;Jordan Pickford;0;0;0;37.5
1978;Jérémy Pied;12;12;9;28.6
1979;Ronaël Pierre-Gabriel;8;5;9;28.4
1980;Brandon Pierrick;0;0;0;0.0
1981;Erik Pieters;41;22;65;24.6
1982;Tomás Pina Isla;21;9;18;27.3
1983;Andrea Pinamonti;14;1;27;20.4
1984;Simone Pinna;2;0;3;21.4
1985;Carlo Pinsoglio;0;0;0;
1986;Pipa;6;6;13;32.5
1987;Gerard Piqué;22;14;66;34.0
1988;Lorenzo Pirola;0;0;0;33.3
1989;Fabio Pisacane;25;19;58;35.3
1990;Łukasz Piszczek;30;29;45;37.3
1991;Claudio Pizarro;1;0;2;20.6
1992;Miralem Pjanić;26;15;38;28.4
1993;Óscar Plano;32;16;62;29.1
1994;Marvin Plattenhardt;15;14;39;23.3
1995;Alassane Pléa;11;7;26;23.3
1996;Thomas Pledl;1;1;2;16.7
1997;Daniel Podence;2;0;5;30.2
1998;Paul Pogba;16;8;20;35.2
1999;Joel Pohjanpalo;0;0;0;50.0
2000;Andrea Poli;40;17;33;29.9
2001;Matteo Politano;8;3;10;24.5
2002;Matteo Politano;1;0;1;29.2
2003;Sebastian Polter;1;1;4;19.5
2004;Marin Pongračić;13;7;18;48.1
2005;Pere Pons;20;8;18;26.2
2006;Nick Pope;0;0;1;20.0
2007;Pedro Porro;14;9;17;24.5
2008;Francisco Portillo;5;4;5;33.3
2009;Portu;23;15;39;25.7
2010;Stefan Posch;42;34;82;31.0
2011;Sergio Postigo;21;9;29;31.5
2012;Florent Poulolo;0;0;1;
2013;Yussuf Poulsen;11;6;18;22.7
2014;Maxime Poundjé;0;0;0;
2015;Darío Poveda;0;0;0;66.7
2016;Alejandro Pozo Pozo;32;18;31;29.7
2017;Alejandro Pozo Pozo;1;1;0;20.8
2018;Percy Prado;3;2;0;26.2
2019;Dennis Praet;18;10;26;25.0
2020;Abdón Prats;0;0;0;32.7
2021;Sanjin Prcić;0;0;1;18.5
2022;Nicolas de Préville;25;10;21;25.8
2023;Sebastian Prödl;0;0;0;0.0
2024;Kai Pröger;23;16;47;25.1
2025;Grischa Prömel;15;5;15;30.8
2026;Davy Pröpper;38;22;39;29.8
2027;Antonio Puertas;24;14;31;26.5
2028;Riqui Puig;6;3;4;19.6
2029;Teemu Pukki;12;2;22;26.6
2030;Erick Pulgar;39;19;76;27.9
2031;Christian Pulisic;19;11;23;29.3
2032;Ignacio Pussetto;3;3;3;21.1
2033;Ignacio Pussetto;3;1;5;21.0
2034;Fabio Quagliarella;5;3;16;25.5
2035;Robin Quaison;13;7;33;22.7
2036;Domingos Quina;0;1;2;18.8
2037;Quini;12;10;12;33.0
2038;Xavi Quintillà;11;9;32;30.4
2039;Quique;2;0;7;41.7
2040;Adrien Rabiot;39;19;45;30.1
2041;Nemanja Radoja;22;13;33;26.3
2042;Nemanja Radonjić;7;3;8;24.4
2043;Ivan Radovanović;18;9;28;26.6
2044;Ionuț Radu;0;0;0;0.0
2045;Ștefan Radu;28;28;30;35.9
2046;Boris Radunović;0;0;0;0.0
2047;Rafael;18;10;18;28.8
2048;Rafael;0;0;0;
2049;Raffael;0;0;2;33.3
2050;Rafinha;3;0;1;35.7
2051;Rafinha;53;16;50;31.7
2052;Daniele Ragatzu;2;0;3;34.2
2053;Baba Rahman;2;0;4;40.0
2054;Antonio Raillo;32;15;43;39.1
2055;Predrag Rajković;1;0;0;100.0
2056;Ivan Rakitić;19;8;27;32.8
2057;Benito Raman;7;4;12;24.6
2058;Gastón Ramírez;20;7;25;23.5
2059;Sandro Ramírez;9;1;12;19.7
2060;Iván Ramis;2;1;3;28.0
2061;Adrián Ramos;1;0;4;21.1
2062;Sergio Ramos;46;25;39;38.3
2063;Aaron Ramsdale;0;0;1;12.5
2064;Aaron Ramsey;19;7;21;28.4
2065;Darren Randolph;0;0;0;
2066;Luca Ranieri;2;2;3;47.6
2067;Andrea Ranocchia;9;4;13;37.3
2068;Tobias Raschl;0;0;0;12.5
2069;Marcus Rashford;6;7;26;27.0
2070;Milot Rashica;16;8;29;30.5
2071;Giacomo Raspadori;8;0;2;31.4
2072;Raúl;0;0;0;8.3
2073;Ante Rebić;0;0;0;5.6
2074;Ante Rebić;12;4;16;25.1
2075;Arkadiusz Reca;26;15;23;29.5
2076;Recio;23;14;21;23.2
2077;Daishawn Redan;0;0;0;0.0
2078;Nathan Redmond;46;19;39;30.0
2079;Fabian Reese;1;0;1;20.0
2080;Vasco Regini;1;0;6;30.8
2081;Vasco Regini;0;0;0;0.0
2082;Sergio Reguilón;33;29;39;28.5
2083;Ken Reichel;7;5;18;20.0
2084;Manolo Reina;0;0;1;20.0
2085;Pepe Reina;0;0;0;25.0
2086;Pepe Reina;0;0;0;
2087;Jeff Reine-Adélaïde;8;4;6;23.9
2088;Jeff Reine-Adélaïde;1;0;1;27.3
2089;Karim Rekik;11;4;33;29.5
2090;Álex Remiro;0;0;0;0.0
2091;Loïc Rémy;4;2;4;31.9
2092;Panagiotis Retsos;0;1;4;30.4
2093;Marco Reus;22;4;25;27.4
2094;Elvis Rexhbeçaj;9;6;13;31.7
2095;Gio Reyna;4;2;4;22.5
2096;Baptiste Reynet;0;0;0;20.0
2097;Nico Ribaudo;1;2;3;25.6
2098;Franck Ribéry;12;5;9;26.7
2099;Davide Riccardi;0;0;0;0.0
