player,t_value
Piotr Zielinski,40.00 
Andrea Belotti,40.00 
Ismaël Bennacer,40.00 
Franck Kessié,40.00 
Duván Zapata,38.00 
Hirving Lozano,38.00 
Lorenzo Pellegrini,37.00 
Alessio Romagnoli,36.00 
Marcelo Brozovic,36.00 
Wojciech Szczesny,35.00 
Manuel Locatelli,35.00 
Rodrigo de Paul,35.00 
Christian Eriksen,35.00 
Hakan Calhanoglu,35.00 
Ante Rebic,32.00 
Adrien Rabiot,32.00 
Konstantinos Manolas,32.00 
Sandro Tonali,32.00 
Merih Demiral,30.00 
Jordan Veretout,30.00 
Domenico Berardi,30.00 
Joaquín Correa,30.00 
Tiemoué Bakayoko,30.00 
Robin Gosens,28.00 
Rafael Leão,28.00 
Alex Sandro,28.00 
Nikola Milenkovic,28.00 
Marash Kumbulla,27.00 
Matteo Politano,25.00 
Mario Pasalic,25.00 
Nahitan Nández,25.00 
Gianluca Mancini,25.00 
Jérémie Boga,25.00 
Gaetano Castrovilli,25.00 
Weston McKennie,25.00 
Marten de Roon,23.00 
Remo Freuler,23.00 
Leonardo Spinazzola,23.00 
Giovanni Di Lorenzo,22.00 
Riccardo Orsolini,22.00 
Luiz Felipe,22.00 
Luis Muriel,22.00 
Arkadiusz Milik,22.00 
Ruslan Malinovskyi,21.00 
Henrikh Mkhitaryan,20.00 
Roger Ibañez,20.00 
Aaron Ramsey,20.00 
Federico Bernardeschi,20.00 
Thomas Strakosha,20.00 
Juan Musso,20.00 
Alex Meret,20.00 
Alessio Cragno,20.00 
Takehiro Tomiyasu,18.00 
Eljif Elmas,18.00 
Bryan Cristante,18.00 
Hans Hateboer,18.00 
Alexis Saelemaekers,18.00 
Amadou Diawara,18.00 
Sofyan Amrabat,18.00 
Juan Cuadrado,18.00 
Aleksey Miranchuk,18.00 
João Pedro,18.00 
Berat Djimsiti,18.00 
Davide Calabria,18.00 
Manuel Lazzari,18.00 
Musa Barrow,18.00 
Stefano Sensi,18.00 
Vedat Muriqi,17.00 
Andrea Petagna,17.00 
Chris Smalling,17.00 
Pierluigi Gollini,17.00 
Giovanni Simeone,17.00 
Danilo,17.00 
Dusan Vlahovic,16.00 
Papu Gómez,15.00 
Kylian Mbappé,180.00 
Neymar,128.00 
Marquinhos,70.00 
Marco Verratti,60.00 
Mauro Icardi,55.00 
Eduardo Camavinga,50.00 
Houssem Aouar,50.00 
Memphis Depay,45.00 
Wissam Ben Yedder,40.00 
Moussa Dembélé,40.00 
Jonathan Ikoné,36.00 
Presnel Kimpembe,35.00 
Boubacar Kamara,32.00 
Ángel Di María,32.00 
Florian Thauvin,32.00 
Jonathan David,30.00 
Bruno Guimarães,28.00 
Kevin Volland,28.00 
Thilo Kehrer,28.00 
Abdou Diallo,25.00 
Rayan Cherki,25.00 
Pablo Sarabia,25.00 
Jeff Reine-Adélaïde,25.00 
Moise Kean,25.00 
Benoît Badiashile,25.00 
Boubakary Soumaré,24.50 
Julian Draxler,24.00 
Danilo Pereira,24.00 
Idrissa Gueye,24.00 
Duje Caleta-Car,23.00 
Kasper Dolberg,23.00 
Morgan Sanson,22.50 
Jonathan Bamba,20.00 
Gelson Martins,20.00 
Aleksandr Golovin,20.00 
Mike Maignan,20.00 
Zeki Celik,20.00 
Jérémy Doku,20.00 
Leandro Paredes,20.00 
Renato Sanches,20.00 
Youcef Atal,20.00 
Lucas Paquetá,20.00 
Anthony Lopes,19.00 
Valentin Rongier,18.00 
Florentino,18.00 
William Saliba,17.00 
Juan Bernat,16.00 
Aurélien Tchouaméni,16.00 
Jason Denayer,16.00 
Serhou Guirassy,15.00 
Axel Disasi,15.00 
Ander Herrera,15.00 
Mohamed Simakan,15.00 
Thiago Mendes,15.00 
Benjamin Bourigeaud,15.00 
Amine Gouiri,15.00 
Léo Dubois,14.00 
Karl Toko Ekambi,13.00 
Faitout Maouassa,13.00 
Youssouf Fofana,13.00 
Andy Delort,13.00 
Yusuf Yazici,13.00 
Alban Lafont,12.50 
Habib Diallo,12.00 
Colin Dagba,12.00 
Téji Savanier,12.00 
Imrân Louza,12.00 
M'Baye Niang,12.00 
Daniele Rugani,12.00 
Martin Terrier,12.00 
Alessandro Florenzi,12.00 
Darío Benedetto,12.00 
Maxence Caqueret,12.00 
Denis Bouanga,12.00 
Ludovic Blas,12.00 
Steven Nzonzi,12.00 
Layvin Kurzawa,12.00 
El Bilal Touré,11.00 
Benjamin Lecomte,11.00 
Maxwel Cornet,10.50 
Strahinja Pavlovic,10.00 
Walter Benítez,10.00 
Jordan Amavi,10.00 
Morgan Schneiderlin,10.00 
Adil Aouchiche,10.00 
Gaëtan Laborde,10.00 
Rony Lopes,10.00 
Djibril Sidibé,10.00 
Sven Botman,10.00 
Michaël Cuisance,10.00 
Seko Fofana,10.00 
Guillermo Maripán,10.00 
Keylor Navas,10.00 
Benjamin André,10.00 
Rafinha,9.50 
Ibrahima Niane,9.00 
Dalbert,9.00 
Alfred Gomis,9.00 
Mounir Chouiar,9.00 
Adrian Grbic,9.00 
João Félix,100.00 
Jan Oblak,90.00 
Ansu Fati,80.00 
Lionel Messi,80.00 
Thibaut Courtois,75.00 
Marc-André ter Stegen,75.00 
Raphaël Varane,70.00 
Mikel Oyarzabal,70.00 
Federico Valverde,70.00 
Casemiro,70.00 
Frenkie de Jong,65.00 
José María Giménez,65.00 
Antoine Griezmann,60.00 
Koke,60.00 
Saúl Ñíguez,60.00 
Diego Carlos,50.00 
Toni Kroos,50.00 
Jules Koundé,50.00 
Philippe Coutinho,50.00 
Pedri,50.00 
Eden Hazard,50.00 
Pau Torres,50.00 
Ousmane Dembélé,50.00 
Marcos Llorente,50.00 
Rodrygo,45.00 
Lucas Ocampos,45.00 
Vinícius Júnior,40.00 
Miralem Pjanic,40.00 
Mikel Merino,40.00 
Ferland Mendy,40.00 
Renan Lodi,40.00 
Daniel Carvajal,40.00 
Ángel Correa,40.00 
Clément Lenglet,40.00 
Martin Ødegaard,40.00 
José Gayà,35.00 
Carlos Soler,35.00 
Marco Asensio,35.00 
Maxi Gómez,32.00 
Éder Militão,30.00 
Unai Simón,30.00 
Yannick Carrasco,30.00 
Gerard Moreno,30.00 
Mario Hermoso,30.00 
Lucas Torreira,28.00 
Trincão,25.00 
Karim Benzema,25.00 
Djené,25.00 
Nabil Fekir,25.00 
Iñaki Williams,25.00 
Paco Alcácer,25.00 
Jordi Alba,25.00 
Sergiño Dest,25.00 
Iñigo Martínez,25.00 
Joan Jordán,25.00 
Sergi Roberto,25.00 
Stefan Savic,25.00 
Alexander Isak,22.00 
José Campaña,22.00 
Thomas Lemar,20.00 
Samu Chukwueze,20.00 
Luka Jovic,20.00 
Isco,20.00 
Takefusa Kubo,20.00 
Álex Remiro,20.00 
Marc Cucurella,20.00 
William Carvalho,20.00 
Mauro Arambarri,20.00 
Ronald Araújo,20.00 
Portu,20.00 
Sergio Canales,20.00 
Kieran Trippier,20.00 
Unai Núñez,20.00 
Willian José,20.00 
Yeray Álvarez,20.00 
Robin Le Normand,20.00 
Felipe,20.00 
Emerson,20.00 
Igor Zubeldia,20.00 
Riqui Puig,18.00 
Enis Bardhi,18.00 
Nemanja Maksimovic,18.00 
Suso,17.00 
Yuri Berchiche,16.00 
Bono,15.00 
Guido Rodríguez,15.00 
Ander Barrenetxea,15.00 
Gabriel Paulista,15.00 
Luis Suárez,15.00 
Martín Zubimendi,15.00 
Carles Aleñá,15.00 
Geoffrey Kondogbia,15.00 
Gonçalo Guedes,15.00 
Aritz Elustondo,15.00 
Bryan Gil,15.00 
Kang-in Lee,15.00 
Youssef En-Nesyri,15.00 
Yangel Herrera,15.00 
Lucas Vázquez,15.00 
Sergio Ramos,14.00 
