;Player;Position;Comp;Age;Min;Goals;Goals;Asists;Asists;GoalAstPer90
318;Jeremie Boga;FW;it Serie A;22;2,513;11;0.39;2;0.07;0.47
319;Melayro Bogarde;DF;de Bundesliga;17;51;0;0.00;0;0.00;0.00
320;Quentin Boisgard;MF,FW;fr Ligue 1;22;1,146;1;0.08;1;0.08;0.16
321;Willy Boly;DF;eng Premier League;28;1,979;0;0.00;1;0.05;0.05
322;Giacomo Bonaventura;MF,FW;it Serie A;29;1,338;3;0.20;5;0.34;0.54
323;Federico Bonazzoli;FW,MF;it Serie A;22;744;6;0.73;0;0.00;0.73
324;Gaëtan Bong;MF,DF;eng Premier League;31;59;0;0.00;0;0.00;0.00
325;Kevin Bonifazi;DF;it Serie A;23;247;1;0.36;0;0.00;0.36
326;Kevin Bonifazi;DF;it Serie A;23;1,191;1;0.08;0;0.00;0.08
327;Federico Bonini;DF;it Serie A;17;7;0;0.00;0;0.00;0.00
328;Leonardo Bonucci;DF;it Serie A;32;3,082;3;0.09;0;0.00;0.09
329;Fabio Borini;FW,MF;it Serie A;28;808;3;0.33;0;0.00;0.33
330;Fabio Borini;MF,FW;it Serie A;28;70;0;0.00;0;0.00;0.00
331;Dennis Borkowski;FW;de Bundesliga;17;9;0;0.00;0;0.00;0.00
332;Robin Bormuth;DF;de Bundesliga;23;181;0;0.00;0;0.00;0.00
333;Sebastiaan Bornauw;DF;de Bundesliga;20;2,447;6;0.22;0;0.00;0.22
334;Brandon Borrello;MF,FW;de Bundesliga;24;298;0;0.00;0;0.00;0.00
335;Gabriel Boschilia;MF,FW;fr Ligue 1;23;130;0;0.00;0;0.00;0.00
336;Denis Bouanga;FW,DF;fr Ligue 1;24;2,042;10;0.44;3;0.13;0.57
337;Hicham Boudaoui;MF,FW;fr Ligue 1;19;490;1;0.18;2;0.37;0.55
338;Ryad Boudebouz;MF,FW;fr Ligue 1;29;1,597;1;0.06;4;0.23;0.28
339;Sofiane Boufal;MF,FW;eng Premier League;25;764;0;0.00;2;0.24;0.24
340;Nassim Boujellab;MF,FW;de Bundesliga;20;419;0;0.00;0;0.00;0.00
341;Farid Boulaya;FW;fr Ligue 1;26;821;2;0.22;1;0.11;0.33
342;Yassine Bounou;GK;es La Liga;28;495;0;0.00;1;0.18;0.18
343;Mehdi Bourabia;MF;it Serie A;27;925;1;0.10;2;0.19;0.29
344;Benjamin Bourigeaud;MF;fr Ligue 1;25;1,903;2;0.09;2;0.09;0.19
345;Bilal Boutobba;MF,DF;fr Ligue 1;20;5;0;0.00;0;0.00;0.00
346;Jarrod Bowen;FW;eng Premier League;22;917;1;0.10;4;0.39;0.49
347;Dedryck Boyata;DF;de Bundesliga;28;2,436;4;0.15;1;0.04;0.18
348;John Boye;DF;fr Ligue 1;32;2,115;2;0.09;0;0.00;0.09
349;Can Bozdogan;MF;de Bundesliga;18;235;0;0.00;0;0.00;0.00
350;Domagoj Bradarić;DF;fr Ligue 1;19;1,419;0;0.00;1;0.06;0.06
351;Filip Bradarić;MF;es La Liga;27;706;0;0.00;0;0.00;0.00
352;Robbie Brady;MF;eng Premier League;27;454;1;0.20;2;0.40;0.59
353;Martin Braithwaite;FW,MF;es La Liga;28;407;1;0.22;0;0.00;0.22
354;Martin Braithwaite;FW,MF;es La Liga;28;1,934;6;0.28;1;0.05;0.33
355;Federico Brancolini;GK;it Serie A;18;6;0;0.00;0;0.00;0.00
356;Brandon;FW;es La Liga;24;406;0;0.00;1;0.22;0.22
357;Julian Brandt;MF,FW;de Bundesliga;23;2,203;3;0.12;7;0.29;0.41
358;Jarrad Branthwaite;DF;eng Premier League;17;300;0;0.00;0;0.00;0.00
359;Darko Brašanac;MF;es La Liga;27;2,245;0;0.00;1;0.04;0.04
360;Claudio Bravo;GK;eng Premier League;36;347;0;0.00;0;0.00;0.00
361;Josip Brekalo;MF,FW;de Bundesliga;21;1,670;3;0.16;4;0.22;0.38
362;Gleison Bremer;DF;it Serie A;22;2,270;3;0.12;1;0.04;0.16
363;Marco Brescianini;MF;it Serie A;19;25;0;0.00;0;0.00;0.00
364;Anthony Briançon;DF;fr Ligue 1;24;1,737;1;0.05;0;0.00;0.05
365;Jimmy Briand;FW;fr Ligue 1;33;1,525;7;0.41;1;0.06;0.47
366;Yan Brice Eteki;MF;es La Liga;21;1,499;0;0.00;0;0.00;0.00
367;Armando Broja;FW;eng Premier League;17;5;0;0.00;0;0.00;0.00
368;Dylan Bronn;DF;fr Ligue 1;24;810;0;0.00;0;0.00;0.00
369;David Brooks;MF;eng Premier League;22;506;1;0.18;0;0.00;0.18
370;John Brooks;DF;de Bundesliga;26;2,224;0;0.00;1;0.04;0.04
371;Daniel Brosinski;DF;de Bundesliga;31;1,709;2;0.11;4;0.21;0.32
372;Josh Brownhill;MF;eng Premier League;23;805;0;0.00;0;0.00;0.00
373;Marcelo Brozović;MF;it Serie A;26;2,701;3;0.10;6;0.20;0.30
374;Gastón Brugman;MF;it Serie A;26;1,458;0;0.00;2;0.12;0.12
375;Jeffrey Bruma;DF;de Bundesliga;27;810;0;0.00;0;0.00;0.00
376;Jeffrey Bruma;DF;de Bundesliga;27;675;0;0.00;0;0.00;0.00
377;Jacob Bruun Larsen;FW,MF;de Bundesliga;20;391;0;0.00;1;0.23;0.23
378;Jacob Bruun Larsen;FW;de Bundesliga;20;68;0;0.00;1;1.32;1.32
379;Bryan;MF,FW;es La Liga;18;558;1;0.16;0;0.00;0.16
380;Bryan;FW;es La Liga;18;65;0;0.00;0;0.00;0.00
381;Lucas Buadés;FW;fr Ligue 1;21;121;0;0.00;0;0.00;0.00
382;Ante Budimir;FW;es La Liga;28;2,765;13;0.42;2;0.07;0.49
383;Emi Buendía;FW,MF;eng Premier League;22;2,464;1;0.04;7;0.26;0.29
384;Gianluigi Buffon;GK;it Serie A;41;810;0;0.00;0;0.00;0.00
385;Marius Bülter;MF,FW;de Bundesliga;26;2,321;7;0.27;1;0.04;0.31
386;Esteban Burgos;DF;es La Liga;27;1,119;1;0.08;0;0.00;0.08
387;Guido Burgstaller;FW;de Bundesliga;30;1,234;0;0.00;1;0.07;0.07
388;Burgui;MF;es La Liga;25;22;0;0.00;0;0.00;0.00
389;Jonathan Burkardt;FW;de Bundesliga;19;253;1;0.36;0;0.00;0.36
390;Oliver Burke;MF,FW;es La Liga;22;1,429;1;0.06;2;0.13;0.19
391;Roman Bürki;GK;de Bundesliga;28;2,770;0;0.00;0;0.00;0.00
392;Dan Burn;DF;eng Premier League;27;2,880;0;0.00;0;0.00;0.00
393;Patrick Burner;DF;fr Ligue 1;23;1,434;1;0.06;1;0.06;0.13
394;Sergio Busquets;MF;es La Liga;31;2,483;2;0.07;2;0.07;0.14
395;Unai Bustinza;DF;es La Liga;27;2,684;0;0.00;1;0.03;0.03
396;Ludovic Butelle;GK;fr Ligue 1;36;2,340;0;0.00;0;0.00;0.00
397;Marcin Bułka;GK;fr Ligue 1;19;90;0;0.00;0;0.00;0.00
398;Sam Byram;DF;eng Premier League;25;1,293;0;0.00;0;0.00;0.00
399;Erick Cabaco;DF;es La Liga;24;267;0;0.00;0;0.00;0.00
400;Erick Cabaco;DF;es La Liga;24;809;0;0.00;0;0.00;0.00
401;Willy Caballero;GK;eng Premier League;37;450;0;0.00;0;0.00;0.00
402;Yohan Cabaye;MF;fr Ligue 1;33;858;0;0.00;1;0.10;0.10
403;Manuel Cabit;DF;fr Ligue 1;26;270;0;0.00;1;0.33;0.33
404;Ariday Cabrera;MF,FW;es La Liga;30;37;0;0.00;0;0.00;0.00
405;Leandro Cabrera;DF;es La Liga;28;1,530;2;0.12;0;0.00;0.12
406;Leandro Cabrera;DF;es La Liga;28;1,530;0;0.00;1;0.06;0.06
407;Fabrizio Cacciatore;DF;it Serie A;32;1,153;0;0.00;0;0.00;0.00
408;Martín Cáceres;DF;it Serie A;32;2,356;1;0.04;0;0.00;0.04
409;Anthony Caci;DF;fr Ligue 1;22;691;1;0.13;4;0.52;0.65
410;Jhonder Cádiz;FW,MF;fr Ligue 1;24;799;2;0.23;2;0.23;0.45
411;Mathieu Cafaro;FW,MF;fr Ligue 1;22;924;1;0.10;2;0.19;0.29
412;Jonathan Cafu;DF;fr Ligue 1;28;201;0;0.00;0;0.00;0.00
413;Gary Cahill;DF;eng Premier League;33;2,167;0;0.00;1;0.04;0.04
414;Felipe Caicedo;FW;it Serie A;30;1,406;9;0.58;2;0.13;0.70
415;Arturo Calabresi;DF;fr Ligue 1;23;1,878;1;0.05;1;0.05;0.10
416;Davide Calabria;DF;it Serie A;22;1,622;1;0.06;1;0.06;0.11
417;Riccardo Calafiori;DF;it Serie A;17;59;0;0.00;0;0.00;0.00
418;Mattia Caldara;DF;it Serie A;25;959;0;0.00;1;0.09;0.09
419;Marco Calderoni;DF;it Serie A;30;2,064;3;0.13;2;0.09;0.22
420;Fernando Calero;DF;es La Liga;23;1,043;0;0.00;0;0.00;0.00
421;Duje Ćaleta-Car;DF;fr Ligue 1;22;1,886;1;0.05;1;0.05;0.10
422;Hakan Çalhanoğlu;MF,FW;it Serie A;25;2,704;9;0.30;9;0.30;0.60
423;Daniel Caligiuri;MF,FW;de Bundesliga;31;2,293;2;0.08;2;0.08;0.16
424;José Callejón;FW,MF;it Serie A;32;2,172;4;0.17;7;0.29;0.46
425;Jonathan Calleri;FW;es La Liga;25;1,811;1;0.05;3;0.15;0.20
426;Dominic Calvert-Lewin;FW;eng Premier League;22;2,626;13;0.45;1;0.03;0.48
427;Mahdi Camara;MF;fr Ligue 1;21;901;0;0.00;0;0.00;0.00
428;Souleymane Camara;FW,MF;fr Ligue 1;36;163;0;0.00;0;0.00;0.00
429;Víctor Camarasa;MF;eng Premier League;25;6;0;0.00;0;0.00;0.00
430;Víctor Camarasa;MF;es La Liga;25;1,293;0;0.00;1;0.07;0.07
431;Eduardo Camavinga;MF;fr Ligue 1;16;2,107;1;0.04;2;0.09;0.13
432;Sergio Camello;FW;es La Liga;18;25;0;0.00;0;0.00;0.00
433;José Campaña;MF;es La Liga;26;3,156;2;0.06;7;0.20;0.26
434;Xisco Campos;DF;es La Liga;37;473;0;0.00;1;0.19;0.19
435;Víctor Campuzano;FW;es La Liga;22;870;0;0.00;0;0.00;0.00
436;Emre Can;MF,DF;de Bundesliga;25;955;2;0.19;0;0.00;0.19
437;Emre Can;MF;it Serie A;25;284;0;0.00;0;0.00;0.00
438;Sergio Canales;MF,FW;es La Liga;28;3,163;6;0.17;6;0.17;0.34
439;João Cancelo;DF;eng Premier League;25;1,208;0;0.00;0;0.00;0.00
440;Antonio Candreva;DF;it Serie A;32;1,993;5;0.23;7;0.32;0.54
441;Gianmarco Cangiano;FW,MF;it Serie A;17;21;0;0.00;0;0.00;0.00
442;Todd Cantwell;FW,MF;eng Premier League;21;2,489;6;0.22;2;0.07;0.29
443;Ander Capa;DF;es La Liga;27;2,872;3;0.09;4;0.13;0.22
444;Pierrick Capelle;MF,DF;fr Ligue 1;32;1,747;1;0.05;2;0.10;0.15
445;Étienne Capoue;MF;eng Premier League;31;2,627;0;0.00;3;0.10;0.10
446;Gianluca Caprari;FW,MF;it Serie A;26;667;3;0.40;0;0.00;0.40
447;Gianluca Caprari;FW,MF;it Serie A;26;589;2;0.31;0;0.00;0.31
448;Francesco Caputo;FW;it Serie A;31;2,931;21;0.64;7;0.21;0.86
449;Maxence Caqueret;MF;fr Ligue 1;19;568;0;0.00;0;0.00;0.00
450;Andrea Carboni;DF,MF;it Serie A;18;368;0;0.00;0;0.00;0.00
451;Irvin Cardona;FW,MF;fr Ligue 1;21;1,450;6;0.37;3;0.19;0.56
452;Marc Cardona;FW;es La Liga;24;705;1;0.13;2;0.26;0.38
453;Diego Carlos;DF;es La Liga;26;3,134;2;0.06;0;0.00;0.06
454;Lionel Carole;DF;fr Ligue 1;28;1,272;0;0.00;0;0.00;0.00
455;Yannick Carrasco;MF,FW;es La Liga;25;631;1;0.14;2;0.29;0.43
456;Daniel Carriço;DF;es La Liga;30;847;0;0.00;0;0.00;0.00
457;Guido Carrillo;FW;es La Liga;28;1,213;1;0.07;2;0.15;0.22
458;Andy Carroll;FW;eng Premier League;30;632;0;0.00;4;0.57;0.57
459;Dani Carvajal;DF;es La Liga;27;2,738;1;0.03;5;0.16;0.20
460;Matis Carvalho;GK;fr Ligue 1;20;72;0;0.00;0;0.00;0.00
461;William Carvalho;MF;es La Liga;27;892;0;0.00;0;0.00;0.00
462;Casemiro;MF;es La Liga;27;3,088;4;0.12;3;0.09;0.20
463;Moreto Cassamã;MF;fr Ligue 1;21;592;0;0.00;1;0.15;0.15
464;Francesco Cassata;MF;it Serie A;22;1,458;2;0.12;0;0.00;0.12
465;Timothy Castagne;DF;it Serie A;23;1,769;1;0.05;2;0.10;0.15
466;Koen Casteels;GK;de Bundesliga;27;2,340;0;0.00;0;0.00;0.00
467;Jean-Charles Castelletto;DF;fr Ligue 1;24;1,838;1;0.05;0;0.00;0.05
468;Samu Castillejo;FW,MF;it Serie A;24;1,209;2;0.15;3;0.22;0.37
469;Jonny Castro;DF;eng Premier League;25;2,887;2;0.06;2;0.06;0.12
470;Lucas Castro;MF;it Serie A;30;425;0;0.00;0;0.00;0.00
471;Lucas Castro;MF;it Serie A;30;606;2;0.30;0;0.00;0.30
472;Gaetano Castrovilli;MF;it Serie A;22;2,673;3;0.10;2;0.07;0.17
473;Danilo Cataldi;MF;it Serie A;24;592;1;0.15;0;0.00;0.15
474;Craig Cathcart;DF;eng Premier League;30;2,488;0;0.00;0;0.00;0.00
475;Edinson Cavani;FW;fr Ligue 1;32;605;4;0.60;1;0.15;0.74
476;Santi Cazorla;MF;es La Liga;34;2,450;11;0.40;9;0.33;0.73
477;Dani Ceballos;MF;eng Premier League;22;1,692;0;0.00;2;0.11;0.11
478;Federico Ceccherini;DF;it Serie A;27;835;0;0.00;0;0.00;0.00
479;Christian Celesia;DF;it Serie A;17;1;0;0.00;0;0.00;0.00
480;Zeki Çelik;DF;fr Ligue 1;22;2,070;0;0.00;2;0.09;0.09
481;Fabien Centonze;DF;fr Ligue 1;23;2,520;0;0.00;3;0.11;0.11
482;Luca Ceppitelli;DF;it Serie A;29;1,246;2;0.14;0;0.00;0.14
483;Alberto Cerri;FW;it Serie A;23;420;1;0.21;0;0.00;0.21
484;Alberto Cerri;FW;it Serie A;23;244;1;0.37;0;0.00;0.37
485;Julian Chabot;DF;it Serie A;21;569;1;0.16;0;0.00;0.16
486;Florian Chabrolle;MF;fr Ligue 1;21;18;0;0.00;0;0.00;0.00
487;Fouad Chafik;DF;fr Ligue 1;32;1,528;0;0.00;2;0.12;0.12
488;Sofian Chakla;DF;es La Liga;25;180;0;0.00;0;0.00;0.00
489;Nathaniel Chalobah;MF;eng Premier League;24;930;0;0.00;1;0.10;0.10
490;Calum Chambers;DF;eng Premier League;24;1,102;1;0.08;1;0.08;0.16
491;Jhon Chancellor;DF;it Serie A;27;2,244;3;0.12;0;0.00;0.12
492;Timothy Chandler;DF,MF;de Bundesliga;29;1,220;5;0.37;1;0.07;0.44
493;Kwon Chang-hoon;MF,FW;de Bundesliga;25;676;2;0.27;0;0.00;0.27
494;Gaëtan Charbonnier;FW,MF;fr Ligue 1;30;2,065;4;0.17;5;0.22;0.39
495;Brendan Chardonnet;DF;fr Ligue 1;24;823;0;0.00;0;0.00;0.00
496;Charles;FW;es La Liga;35;1,301;6;0.42;0;0.00;0.42
497;Xavier Chavalerin;MF;fr Ligue 1;28;2,147;1;0.04;3;0.13;0.17
498;Pablo Chavarría;FW,MF;es La Liga;31;209;0;0.00;0;0.00;0.00
499;Aurélien Chedjou;DF;fr Ligue 1;34;1,971;0;0.00;0;0.00;0.00
500;Pape Cheikh Diop;MF;es La Liga;21;599;0;0.00;1;0.15;0.15
501;Chema;DF;es La Liga;27;309;0;0.00;0;0.00;0.00
502;Rayan Cherki;MF,FW;fr Ligue 1;15;143;0;0.00;0;0.00;0.00
503;Denis Cheryshev;MF,FW;es La Liga;28;926;1;0.10;2;0.19;0.29
504;Giorgio Chiellini;DF;it Serie A;34;202;1;0.45;0;0.00;0.45
505;Federico Chiesa;FW,DF;it Serie A;21;2,637;11;0.38;6;0.20;0.58
506;Ben Chilwell;DF;eng Premier League;22;2,373;3;0.11;3;0.11;0.23
507;Vlad Chiricheș;DF;it Serie A;29;707;0;0.00;0;0.00;0.00
508;Tahith Chong;FW,MF;eng Premier League;19;37;0;0.00;0;0.00;0.00
509;Joris Chotard;MF;fr Ligue 1;17;1,251;0;0.00;0;0.00;0.00
510;Hamza Choudhury;MF;eng Premier League;21;893;1;0.10;1;0.10;0.20
511;Mounir Chouiar;MF,FW;fr Ligue 1;20;1,506;4;0.24;0;0.00;0.24
512;Andreas Christensen;DF;eng Premier League;23;1,751;0;0.00;0;0.00;0.00
513;Samuel Chukwueze;MF,FW;es La Liga;20;2,048;3;0.13;2;0.09;0.22
514;Darko Churlinov;FW;de Bundesliga;19;21;0;0.00;0;0.00;0.00
515;Churripi;GK;es La Liga;25;244;0;0.00;0;0.00;0.00
516;Luca Cigarini;MF;it Serie A;33;1,598;0;0.00;4;0.23;0.23
517;Per Ciljan Skjelbred;MF;de Bundesliga;32;1,628;0;0.00;0;0.00;0.00
518;Jasper Cillessen;GK;es La Liga;30;2,096;0;0.00;1;0.04;0.04
519;Thiago Cionek;DF;it Serie A;33;2,169;0;0.00;1;0.04;0.04
520;Ibrahim Cissé;DF;fr Ligue 1;23;60;0;0.00;0;0.00;0.00
521;Ibrahim Cissé;DF,FW;fr Ligue 1;20;50;0;0.00;0;0.00;0.00
522;Andrea Cistana;DF;it Serie A;22;1,838;1;0.05;0;0.00;0.05
523;Ciaran Clark;DF;eng Premier League;29;1,186;2;0.15;0;0.00;0.15
524;Leon Clarke;FW,MF;eng Premier League;34;35;0;0.00;0;0.00;0.00
525;Alexis Claude-Maurice;MF,FW;fr Ligue 1;21;1,629;1;0.06;1;0.06;0.11
526;Christian Clemens;MF,FW;de Bundesliga;27;16;0;0.00;0;0.00;0.00
527;Óscar Clemente;MF;es La Liga;20;4;0;0.00;0;0.00;0.00
528;Yannis Clementia;GK;fr Ligue 1;22;180;0;0.00;0;0.00;0.00
529;Denilho Cleonise;FW;it Serie A;17;47;0;0.00;0;0.00;0.00
530;Carlos Clerc;DF;es La Liga;27;1,848;0;0.00;2;0.10;0.10
531;Tom Cleverley;MF;eng Premier League;29;971;1;0.09;0;0.00;0.09
532;Conor Coady;DF;eng Premier League;26;3,420;0;0.00;0;0.00;0.00
533;Marcus Coco;FW;fr Ligue 1;23;14;0;0.00;0;0.00;0.00
534;Renaud Cohade;MF;fr Ligue 1;34;764;1;0.12;0;0.00;0.12
535;Coke;DF;es La Liga;32;989;1;0.09;0;0.00;0.09
536;Séamus Coleman;DF;eng Premier League;30;1,839;0;0.00;1;0.05;0.05
537;Álex Collado;DF;es La Liga;20;6;0;0.00;0;0.00;0.00
538;Ebrima Colley;FW;it Serie A;19;82;0;0.00;1;1.10;1.10
539;Omar Colley;DF;it Serie A;26;2,772;0;0.00;1;0.03;0.03
540;Jamilu Collins;DF;de Bundesliga;24;2,668;1;0.03;2;0.07;0.10
541;Simone Colombi;GK;it Serie A;28;360;0;0.00;0;0.00;0.00
542;Lorenzo Colombo;FW;it Serie A;17;9;0;0.00;0;0.00;0.00
543;Racine Coly;DF;fr Ligue 1;23;649;1;0.14;0;0.00;0.14
544;Kingsley Coman;FW,MF;de Bundesliga;23;1,505;4;0.24;3;0.18;0.42
545;Daniel Congré;DF;fr Ligue 1;34;1,941;0;0.00;1;0.05;0.05
546;Aaron Connolly;FW;eng Premier League;19;1,258;3;0.21;1;0.07;0.29
547;Andrea Consigli;GK;it Serie A;32;2,790;0;0.00;0;0.00;0.00
548;Andrea Conti;DF;it Serie A;25;1,725;0;0.00;2;0.10;0.10
549;Lewis Cook;MF;eng Premier League;22;1,352;0;0.00;0;0.00;0.00
550;Steve Cook;DF;eng Premier League;28;2,428;1;0.04;0;0.00;0.04
551;Francis Coquelin;MF;es La Liga;28;1,905;0;0.00;0;0.00;0.00
552;Gabriele Corbo;DF;it Serie A;19;122;0;0.00;0;0.00;0.00
553;Sébastien Corchia;DF;es La Liga;28;269;0;0.00;0;0.00;0.00
554;Iñigo Córdoba;FW;es La Liga;22;1,442;1;0.06;4;0.25;0.31
555;Jhon Córdoba;FW;de Bundesliga;26;1,998;13;0.59;2;0.09;0.68
556;Sergio Córdova;FW,MF;de Bundesliga;21;367;2;0.49;1;0.25;0.74
557;Benjamin Corgnet;MF;fr Ligue 1;32;261;0;0.00;0;0.00;0.00
558;Jack Cork;MF;eng Premier League;30;2,613;0;0.00;0;0.00;0.00
559;Andreas Cornelius;FW;it Serie A;26;1,494;12;0.72;3;0.18;0.90
560;Maxwel Cornet;FW,DF;fr Ligue 1;22;1,330;4;0.27;3;0.20;0.47
561;Quentin Cornette;FW,MF;fr Ligue 1;25;349;0;0.00;2;0.52;0.52
562;Ángel Correa;MF,FW;es La Liga;24;2,061;5;0.22;6;0.26;0.48
563;Joaquín Correa;FW,MF;it Serie A;24;2,002;9;0.40;2;0.09;0.49
564;Rober Correa;DF;es La Liga;26;929;0;0.00;0;0.00;0.00
565;Thierry Correia;DF;es La Liga;20;259;0;0.00;0;0.00;0.00
566;Antonio Cortés;FW,MF;es La Liga;19;181;1;0.50;0;0.00;0.50
567;Angelo da Costa Júnior;GK;it Serie A;35;90;0;0.00;0;0.00;0.00
568;Danny da Costa;DF,MF;de Bundesliga;26;1,389;1;0.06;4;0.26;0.32
569;Diego Costa;FW;es La Liga;30;1,350;5;0.33;4;0.27;0.60
570;Douglas Costa;FW,MF;it Serie A;28;802;1;0.11;4;0.45;0.56
571;Jaume Costa;DF;es La Liga;31;1,389;0;0.00;1;0.06;0.06
572;Nuno da Costa;FW,MF;fr Ligue 1;28;527;1;0.17;0;0.00;0.17
573;David Costas;DF;es La Liga;24;338;0;0.00;0;0.00;0.00
574;Benoît Costil;GK;fr Ligue 1;32;2,520;0;0.00;0;0.00;0.00
575;Kalifa Coulibaly;FW;fr Ligue 1;27;1,616;4;0.22;0;0.00;0.22
576;Senou Coulibaly;DF;fr Ligue 1;24;666;0;0.00;0;0.00;0.00
577;Yoann Court;FW,MF;fr Ligue 1;29;1,465;3;0.18;7;0.43;0.61
578;Thibaut Courtois;GK;es La Liga;27;3,060;0;0.00;0;0.00;0.00
579;Philippe Coutinho;MF,FW;de Bundesliga;27;1,411;8;0.51;6;0.38;0.89
580;Nicolas Cozza;DF;fr Ligue 1;20;556;0;0.00;0;0.00;0.00
581;Alessio Cragno;GK;it Serie A;25;1,440;0;0.00;0;0.00;0.00
582;Aaron Cresswell;DF;eng Premier League;29;2,727;3;0.10;0;0.00;0.10
583;Domenico Criscito;DF;it Serie A;32;2,053;8;0.35;0;0.00;0.35
584;Bryan Cristante;MF;it Serie A;24;1,616;1;0.06;3;0.17;0.22
585;Sebastián Cristóforo;MF;it Serie A;25;90;0;0.00;0;0.00;0.00
586;Sebastián Cristóforo;MF;es La Liga;25;877;0;0.00;0;0.00;0.00
587;Juan Cuadrado;DF;it Serie A;31;2,654;2;0.07;5;0.17;0.24
588;Cucho;FW,MF;es La Liga;20;1,487;5;0.30;1;0.06;0.36
589;Marc Cucurella;MF,DF;es La Liga;21;3,237;1;0.03;5;0.14;0.17
590;Iván Cuéllar;GK;es La Liga;35;2,429;0;0.00;0;0.00;0.00
591;Jaume Cuéllar;FW,MF;it Serie A;17;70;0;0.00;0;0.00;0.00
592;Mickaël Cuisance;MF,FW;de Bundesliga;19;307;1;0.29;0;0.00;0.29
593;Matheus Cunha;FW,MF;de Bundesliga;20;744;6;0.73;0;0.00;0.73
594;Matheus Cunha;FW,MF;de Bundesliga;20;279;0;0.00;1;0.32;0.32
595;Felipe Curcio;DF;it Serie A;26;5;0;0.00;0;0.00;0.00
596;Patrick Cutrone;FW;it Serie A;21;838;4;0.43;1;0.11;0.54
597;Patrick Cutrone;FW;eng Premier League;21;297;2;0.61;0;0.00;0.61
598;Wylan Cyprien;MF;fr Ligue 1;24;1,772;7;0.36;3;0.15;0.51
599;Rafael Czichos;DF;de Bundesliga;29;2,207;1;0.04;1;0.04;0.08
600;Lennart-Marten Czyborra;DF;it Serie A;20;17;0;0.00;0;0.00;0.00
601;Marco D'Alessandro;MF,DF;it Serie A;28;781;2;0.23;0;0.00;0.23
602;Danilo D'Ambrosio;DF;it Serie A;30;1,402;4;0.26;0;0.00;0.26
603;Felice D'Amico;MF;it Serie A;18;3;0;0.00;0;0.00;0.00
604;Lucas Da Cunha;MF;fr Ligue 1;18;72;0;0.00;0;0.00;0.00
605;Jacopo Da Riva;FW;it Serie A;18;1;0;0.00;0;0.00;0.00
606;Damien Da Silva;DF;fr Ligue 1;31;2,244;1;0.04;2;0.08;0.12
607;Bryan Dabo;MF;it Serie A;27;1,122;1;0.08;4;0.32;0.40
608;Moanes Dabour;FW;de Bundesliga;27;766;4;0.47;0;0.00;0.47
609;Moanes Dabour;FW;es La Liga;27;26;0;0.00;0;0.00;0.00
610;Colin Dagba;DF;fr Ligue 1;20;668;0;0.00;0;0.00;0.00
611;Mahmoud Dahoud;MF;de Bundesliga;23;558;0;0.00;1;0.16;0.16
612;Leon Dajaku;DF;de Bundesliga;18;12;0;0.00;0;0.00;0.00
613;Felipe dal Belo;DF;it Serie A;35;997;0;0.00;0;0.00;0.00
614;Christian Dalle Mura;MF;it Serie A;17;1;0;0.00;0;0.00;0.00
615;Diogo Dalot;DF;eng Premier League;20;67;0;0.00;0;0.00;0.00
616;Charlie Daniels;DF;eng Premier League;32;126;0;0.00;0;0.00;0.00
617;Danilo;DF;it Serie A;28;1,440;2;0.12;0;0.00;0.12
618;Scott Dann;DF;eng Premier League;32;1,266;0;0.00;1;0.07;0.07
619;Kevin Danso;DF;eng Premier League;20;277;0;0.00;1;0.32;0.32
620;Dante;DF;fr Ligue 1;35;1,890;1;0.05;0;0.00;0.05
621;Andrea Danzi;MF;it Serie A;20;1;0;0.00;0;0.00;0.00
622;Sergi Darder;MF,FW;es La Liga;25;2,658;2;0.07;1;0.03;0.10
623;Vladimír Darida;MF;de Bundesliga;28;2,256;3;0.12;4;0.16;0.28
624;Matteo Darmian;DF;it Serie A;29;2,685;1;0.03;1;0.03;0.07
625;Alphonso Davies;DF;de Bundesliga;18;2,234;3;0.12;5;0.20;0.32
626;Ben Davies;DF;eng Premier League;26;1,431;0;0.00;0;0.00;0.00
627;Tom Davies;MF;eng Premier League;21;2,027;1;0.04;0;0.00;0.04
628;Keinan Davis;FW;eng Premier League;21;548;0;0.00;0;0.00;0.00
629;Paweł Dawidowicz;DF;it Serie A;24;693;1;0.13;0;0.00;0.13
630;Craig Dawson;DF;eng Premier League;29;2,361;2;0.08;0;0.00;0.08
631;Kevin De Bruyne;MF;eng Premier League;28;2,791;13;0.42;20;0.64;1.06
632;Sebastien De Maio;DF;it Serie A;32;1,500;0;0.00;0;0.00;0.00
633;Rodrigo De Paul;MF;it Serie A;25;2,822;7;0.22;6;0.19;0.41
634;Mattia De Sciglio;DF;it Serie A;26;471;0;0.00;0;0.00;0.00
635;Lorenzo De Silvestri;DF;it Serie A;31;2,243;0;0.00;0;0.00;0.00
636;Lucas Deaux;MF;fr Ligue 1;30;1,335;2;0.13;1;0.07;0.20
637;Mathieu Debuchy;DF;fr Ligue 1;34;1,769;1;0.05;1;0.05;0.10
638;Troy Deeney;FW;eng Premier League;31;2,225;10;0.40;2;0.08;0.49
639;Grégoire Defrel;FW,MF;it Serie A;28;980;3;0.28;3;0.28;0.55
640;Alessandro Deiola;MF;it Serie A;23;1;0;0.00;0;0.00;0.00
641;Alessandro Deiola;MF;it Serie A;23;717;1;0.13;1;0.13;0.25
