;Player;Position;Comp;Age;Min;Goals;Goals;Asists;Asists;GoalAstPer90
72;Ibrahim Amadou;DF,MF;eng Premier League;26;759;0;0.00;0;0.00;0.00
73;Ibrahim Amadou;MF;es La Liga;26;770;0;0.00;0;0.00;0.00
74;Romain Amalfitano;MF;fr Ligue 1;29;1,695;1;0.05;1;0.05;0.11
75;Amath;MF;es La Liga;23;66;0;0.00;0;0.00;0.00
76;Jordan Amavi;DF;fr Ligue 1;25;2,164;1;0.04;1;0.04;0.08
77;Thierry Ambrose;FW;fr Ligue 1;22;548;0;0.00;0;0.00;0.00
78;Kelvin Amian;DF;fr Ligue 1;21;1,633;0;0.00;2;0.11;0.11
79;Nadiem Amiri;MF,FW;de Bundesliga;22;1,857;1;0.05;2;0.10;0.15
80;Ethan Ampadu;DF;de Bundesliga;18;81;0;0.00;0;0.00;0.00
81;Opoku Ampomah;FW;de Bundesliga;23;500;0;0.00;0;0.00;0.00
82;Sofyan Amrabat;MF;it Serie A;22;2,919;1;0.03;1;0.03;0.06
83;Joachim Andersen;DF;fr Ligue 1;23;1,531;1;0.06;0;0.00;0.06
84;Djavan Anderson;DF,MF;it Serie A;24;167;0;0.00;0;0.00;0.00
85;Felipe Anderson;MF,FW;eng Premier League;26;1,497;1;0.06;4;0.24;0.30
86;Sebastian Andersson;FW;de Bundesliga;28;2,682;12;0.40;1;0.03;0.44
87;Florin Andone;MF,FW;eng Premier League;26;73;1;1.23;0;0.00;1.23
88;Benjamin André;MF;fr Ligue 1;28;2,054;2;0.09;1;0.04;0.13
89;Lorenzo Andrenacci;GK;it Serie A;24;531;0;0.00;0;0.00;0.00
90;Robert Andrich;MF;de Bundesliga;24;2,572;1;0.03;2;0.07;0.10
91;Victorien Angban;MF;fr Ligue 1;22;1,029;0;0.00;0;0.00;0.00
92;Miguel Ángel Guerrero;FW;es La Liga;29;790;1;0.11;0;0.00;0.11
93;Miguel Ángel Moyá;GK;es La Liga;35;1,170;0;0.00;0;0.00;0.00
94;José Ángel;DF;es La Liga;29;2,360;1;0.04;1;0.04;0.08
95;Angeliño;DF;de Bundesliga;22;1,095;1;0.08;2;0.16;0.25
96;Angeliño;DF;eng Premier League;22;423;0;0.00;0;0.00;0.00
97;Faustino Anjorin;FW;eng Premier League;17;20;0;0.00;0;0.00;0.00
98;Peter Ankersen;DF;it Serie A;28;1,063;0;0.00;1;0.08;0.08
99;Cristian Ansaldi;DF,MF;it Serie A;32;1,768;4;0.20;4;0.20;0.41
100;Janis Antiste;MF;fr Ligue 1;16;12;0;0.00;0;0.00;0.00
101;Michail Antonio;FW;eng Premier League;29;1,768;10;0.51;3;0.15;0.66
102;Antoñito;DF,MF;es La Liga;31;1,029;0;0.00;0;0.00;0.00
103;Mirko Antonucci;FW,MF;it Serie A;20;82;0;0.00;0;0.00;0.00
104;Vitorino Antunes;MF;es La Liga;32;6;0;0.00;0;0.00;0.00
105;Christopher Antwi-Adjei;MF,FW;de Bundesliga;25;2,470;1;0.04;2;0.07;0.11
106;Anuar;MF,FW;es La Liga;24;189;0;0.00;0;0.00;0.00
